"","EN","UA","COMM"
"1004","exarticulation","екзартикуляція",NA
"1005","excavation","утворення порожнини",NA
"1006","excavation","порожнина",NA
"1007","excerebration","ексцеребрація",NA
"1008","excess acid","підвищена кислотність",NA
"1009","excessive hydration","гіпергідрія",NA
"1010","excessive sweating","надмірне потовиділення","Anuvadak"
"1011","excise","видаляти оперативно",NA
"1012","excise","ампутувати",NA
"1013","excision","вирізання",NA
"1014","excitatory neurotransmitter","збуджувальний медіатор",NA
"1015","excoriation","екскоріація",NA
"1016","exenterate","видаляти нутрощі",NA
"1017","exenteration","екзентерація",NA
"1018","extirpate","видаляти",NA
"1019","extirpate","вилущувати",NA
"1020","extirpation","видалення",NA
"1021","extirpation","вилущування",NA
"1022","extirpation","екстирпація",NA
"1023","extra-uterine","позаматковий",NA
"1024","extracellular degeneration","позаклітинна дистрофія",NA
"1025","extracellular degeneration","тканинна дистрофія",NA
"1026","extracolonic abscess","паракишковий абсцес",NA
"1027","extraction","видалення",NA
"1028","extraction","виривання",NA
"1029","extraction","екстракція",NA
"1030","extraction of a tooth","видалення зуба",NA
"1031","extractor","щипці",NA
"1032","extractor","інструмент для видалення стороннього тіла",NA
"1033","extragenital gonorrhea","екстрагенітальна гонорея",NA
"1034","extrapulmonary tuberculosis","позалегеневий туберкульоз",NA
"1035","extrasystole","екстрасистолія",NA
"1036","extravasate","ексудат",NA
"1037","extravasate","рідина, що вийшла із судин у тканини",NA
"1038","fascia","пов'язка",NA
"1039","fascia","бинт",NA
"1040","fasciitis","фасцит",NA
"1041","fatal","летальний",NA
"1042","fatal case","смертельний випадок",NA
"1043","fatigue","виснажливість","Anuvadak"
"1044","fatigue","втома","Anuvadak"
"1045","fatigue","стомлюваність","Anuvadak"
"1046","fatty degeneration","жирове переродження",NA
"1047","fatty degeneration","ожиріння",NA
"1048","fatty heart","ожиріння серця",NA
"1049","fatty liver","ожиріння печінки",NA
"1050","fatty stools","стеаторея",NA
"1051","fatty tumour","жировик",NA
"1052","prognosis","прогноз",NA
"1053","favus herpetiformis","герпесоподібний фавус",NA
"1054","favus murium","герпесоподібний фавус",NA
"1055","fear of fearing","фобофобія",NA
"1056","febricula","легкий жар",NA
"1057","febricula","незначна пропасниця",NA
"1058","fibrous tunic","волокниста оболонка",NA
"1059","field of operation","сфера дії",NA
"1060","field of operations","фронт робіт",NA
"1061","filariasis","філяріатоз",NA
"1062","fine forceps","атравматичний пінцет",NA
"1063","fine motor skills","дрібна моторика","Anuvadak"
"1064","first aid","перша допомога","Anuvadak"
"1065","first aid","швидка допомога","Anuvadak"
"1066","first aid station","перев'язувальний пункт",NA
"1067","first aid station","медпункт",NA
"1068","first labor","перші пологи",NA
"1069","first medical aid group","загін першої медичної допомоги",NA
"1070","first response","перша допомога","SergiusT"
"1071","first set","перша черга",NA
"1072","first-aid medicine","засіб для надання першої допомоги",NA
"1073","first-aid pack","індивідуальний пакет",NA
"1074","first-aid post","медпункт",NA
"1075","first-aid station","пункт першої допомоги",NA
"1076","fish skin","шкіра алігатора",NA
"1077","fish-skin disease","іхтіоз",NA
"1078","focal infection","вогнищева інфекція",NA
"1079","focalize","локалізувати",NA
"1080","focalize","локалізуватися",NA
"1081","folate cycle","фолатний цикл","Anuvadak"
"1082","foliate papilla","листоподібний сосочок",NA
"1083","folic acid","фолієва кислота","Anuvadak"
"1084","follicular","фолікулярний",NA
"1085","follicular pharyngitis","гранульозний фарингіт",NA
"1086","folliculitis","фолікуліт",NA
"1087","follow-up","контроль",NA
"1088","follow-up","облік",NA
"1089","follow-up","наступний нагляд лікаря",NA
"1090","follow-up care","медична реабілітація",NA
"1091","follow-up of patient","нагляд за пацієнтом",NA
"1092","foment","класти припарки",NA
"1093","foment","припарити",NA
"1094","foment","припарювати",NA
"1095","fomentation","застосування припарок",NA
"1096","fomentation","лікування припарками",NA
"1097","fomentation","припарювання",NA
"1098","fungate","обростати диким м'ясом",NA
"1099","fungate","давати ніздрюваті утворення",NA
"1100","fungate","давати губчаті утворення",NA
"1101","fungoid","що швидко розростається",NA
"1102","fungous arthritis","фунгозний артрит",NA
"1103","fungus","дике м'ясо",NA
"1104","fungus","грибовидний наріст",NA
"1105","fungus of brain","грижа головного мозку",NA
"1106","fungus of brain","гриб головного мозку",NA
"1107","funiculitis","фунікуліт",NA
"1108","funiculus of spinal cord","канатик спинного мозку",NA
"1109","fur","наліт",NA
"1110","fur","смага",NA
"1111","furred","обкладений",NA
"1112","furred (dirty, coated, leaded) tongue","язик",NA
"1113","furred (coated) tongue","обкладений язик",NA
"1114","furuncle","фурункул",NA
"1115","furuncle","чиряк",NA
"1116","furunculosis","фурункульоз",NA
"1117","fusion","фузія",NA
"1118","gas","гази",NA
"1119","gas abscess","газовий абсцес",NA
"1120","gas exchange","газообмін",NA
"1121","gas gangrene","анаеробна гангрена",NA
"1122","gas mask","маска протигаза",NA
"1123","gas retention","затримка газів",NA
"1124","gas-bearing bed","газоносний пласт",NA
"1125","gas-filled cyst","повітряна киста",NA
"1126","gas-gangrene","газова гангрена",NA
"1127","gas-oxygen-ether mixture","газоефірна наркотична суміш",NA
"1128","gash","враження",NA
"1129","gash","ураження",NA
"1130","gastralgia","гастралгія",NA
"1131","gastric colic","гастралгія",NA
"1132","gastric colic","гастродинія",NA
"1133","gastric emptying","спорожнення шлунку",NA
"1134","gastric intubation","зондування шлунку",NA
"1135","gastric lavage","промивання шлунка",NA
"1136","gastric motor activity","моторика шлунка",NA
"1137","gastric thrush","кандидоз шлунку",NA
"1138","geologic profile","геологічний профіль",NA
"1139","geological survey","геологічне знімання",NA
"1140","geophagy","геофагія",NA
"1141","geotrichosis","геотрихоз",NA
"1142","geriatric","геріатричний",NA
"1143","geriatric therapy","геронтотерапія",NA
"1144","germ (infection) carrier","переносник зарази",NA
"1145","germ-carrier","бацилоносій",NA
"1146","German measles","червона висипка",NA
"1147","German measles","корова краснуха",NA
"1148","German measles","краснуха",NA
"1149","germinal infection","зародкова інфекція",NA
"1150","germinoma","гермінома",NA
"1151","gerontological psychiatry","геронтопсихіатрія",NA
"1152","gerontological psychology","геронтопсихологія",NA
"1153","Gestalt psychology","гештальт-психологія",NA
"1154","gestational psychosis","психоз вагітності",NA
"1155","giant cell hepatitis","гігантоклітинний гепатит",NA
"1156","giant cell myeloma","остеокластома",NA
"1157","giant cell tumor","гігантома",NA
"1158","glycogenic hepatomegaly","глікогеноз",NA
"1159","glycogenic thesaurismosis","глікогеноз",NA
"1160","glycogenosis","глікогеноз",NA
"1161","glycosuria","глюкозурія",NA
"1162","gnathostat","гнатостат",NA
"1163","gnotobiote","гнотобіот",NA
"1164","goggle-eye","витрішкуватість",NA
"1165","goiter","струма",NA
"1166","goitre","зоб",NA
"1167","goitre","розростання щитовидної залози",NA
"1168","goitrous","зобний",NA
"1169","goitrous","хворий на базедову хворобу",NA
"1170","gold-therapy","золототерапія",NA
"1171","Gomphocarpus","гомфокарпус",NA
"1172","gonalgia","гоналгія",NA
"1173","gonarthritis","гоніт",NA
"1174","gonarthrosis","гонартроз",NA
"1175","gongylonemiasis","гонгілонематоз",NA
"1176","gonitis","гоніт",NA
"1177","green blindness","дейтеранопія",NA
"1178","green sickness","хлороз",NA
"1179","green-sickness","хлороз",NA
"1180","green-sickness","бліда неміч",NA
"1181","grinding","розтирання",NA
"1182","grip","грип",NA
"1183","gripes","коліки",NA
"1184","gripes","спазм",NA
"1185","gripes","спазма",NA
"1186","grippal angina","грипозна ангіна",NA
"1187","grippal meningitis","грипозний менінгіт",NA
"1188","grippe","грип",NA
"1189","grippe","інфлуенца",NA
"1190","grippe","інфлюенца",NA
"1191","gripping forceps","лапчастий пінцет",NA
"1192","gross hematuria","макрогематурія",NA
"1193","gross weight","маса брутто",NA
"1194","gross weight","брутто",NA
"1195","gross (total) weight","загальна вага",NA
"1196","growth","пухлина",NA
"1197","hamate bone","гачкувата кістка",NA
"1198","hand-bath","ручна ванна",NA
"1199","hand-eye coordination","зорово-моторна координація","Anuvadak"
"1200","hand-eye coordination","координація очей і рук","Anuvadak"
"1201","handling of food","обробляння їжі",NA
"1202","haploid number of chromosomes","гаплоїдний набір хромосом",NA
"1203","hard chancre","твердий шанкер",NA
"1204","hardening","затверділість",NA
"1205","hardening","ущільнення",NA
"1206","hare's eye","лагофтальм",NA
"1207","hare-lip","заяча губа",NA
"1208","harelip","заяча губа",NA
"1209","harpaxophobia","гарпаксофобія",NA
"1210","harvesting operations","лісозаготівельні роботи",NA
"1211","hasheeshism","каннабізм",NA
"1212","hashishism","каннабізм",NA
"1213","have a miscarriage","викидати",NA
"1214","have an abortion","зробити аборт",NA
"1215","have constipation","засмітити",NA
"1216","have constipation","засмічувати",NA
"1217","hemangiopericytoma","гемангіоперицитома",NA
"1218","hematic abscess","абсцедуюча гематома",NA
"1219","hematidrosis","гематидроз",NA
"1220","hemato-placental barrier","гематоплацентарний бар'єр","Yuriy Sokha"
"1221","hematobilia","гематобілія",NA
"1222","hematologic toxicity","гематологічна токсичність",NA
"1223","hematoma","гематома",NA
"1224","hematomyelia","гематомієлія",NA
"1225","hematoporphyria","гематопорфірія",NA
"1226","hematopsia","гематопсія",NA
"1227","hematothorax","гематоторакс",NA
"1228","hematuria","кривава сеча",NA
"1229","hemeralopia","куряча сліпота",NA
"1230","hemeralopia","гемералопія",NA
"1231","hemicrania","мігрень",NA
"1232","hemicrany","мігрень",NA
"1233","hemidrosis","гематидроз",NA
"1234","hemiparesis","геміпарез","Spring_beauty"
"1235","hemiplegia","геміплегія","Spring_beauty"
"1236","hemobilia","гематобілія",NA
"1237","hernial lipoma","грижова ліпома",NA
"1238","hernial lipoma","ліпоцеле",NA
"1239","herniation","утворення грижі",NA
"1240","herniology","герніологія",NA
"1241","heroic","небезпечний",NA
"1242","heroic","ризикований",NA
"1243","herpes","лишай",NA
"1244","herpes encephalitis","герпетичний енцефаліт",NA
"1245","herpes genitalis","генітальний герпес",NA
"1246","herpes simplex","простий герпес",NA
"1247","herpetic","герпетичний",NA
"1248","herpetic angina","герпетична ангіна",NA
"1249","herpetic hepatitis","герпетичний гепатит",NA
"1250","herpetic infection","герпетична інфекція",NA
"1251","heterodontism","гетеродонтизм",NA
"1252","heterokinesis","гетерокінезія",NA
"1253","heterologous protein","гетерологічний білок",NA
"1254","heterologous serum","гетеросироватка",NA
"1255","heterologous transfusion","гетеротрансфузія",NA
"1256","heteromastia","гетеромастія",NA
"1257","homunculus","фантом",NA
"1258","homunculus","модель людини для вивчення анатомії",NA
"1259","hooked nose","горбатий ніс",NA
"1260","hooked nose","ніс гачком",NA
"1261","hookworm","нематода",NA
"1262","hoop","коклюшний кашель",NA
"1263","hooping cough","коклюш",NA
"1264","hooping-cough","коклюш",NA
"1265","hooping-cough","кашлюк",NA
"1266","hordeolum internum","внутрішній ячмінь",NA
"1267","hordeolum meibomianum","внутрішній ячмінь",NA
"1268","hormonal therapy","гормонотерапія",NA
"1269","hormonal treatment","гормонотерапія",NA
"1270","hormonal treatment","ендокринотерапія",NA
"1271","horseshoe kidney","підковоподібна нирка",NA
"1272","hospital","стаціонар",NA
"1273","hospital chart","історія хвороби",NA
"1274","hospital gangrene","госпітальна гангрена",NA
"1275","hospital gangrene","гангрена від пролежня",NA
"1276","hospital nosocomial gangrene","госпітальна гангрена",NA
"1277","hydromania","гідроманія",NA
"1278","hydromyelia","гідромієлія",NA
"1279","hydropathic establishment","водолікарня",NA
"1280","hydropathical","водолікувальний",NA
"1281","hydropathist","гідропат",NA
"1282","hydrophilic ointment","мазь-емульсія",NA
"1283","hydrophobia","водобоязнь",NA
"1284","hydrophobia","сказ",NA
"1285","hydrophobia","каз",NA
"1286","hydropic","водянковий",NA
"1287","hydropic","набряклий",NA
"1288","hydropic","хворий на водянку",NA
"1289","hydropoiesis","гідропоез",NA
"1290","hydrops","водянка",NA
"1291","hydropsy","водянка",NA
"1292","hydroptic","водянковий",NA
"1293","hydroptic","набряклий",NA
"1294","hydroptic","хворий на водянку",NA
"1295","hydrosarca","анасарка",NA
"1296","hydrotherapeutic procedure","водна процедура",NA
"1297","hypertonia","гіпертонія",NA
"1298","hypertrophy","гіпертрофія",NA
"1299","hypervolemia","гіперволемія",NA
"1300","hypesthesia","гіпестезія",NA
"1301","hyphema","гіфема",NA
"1302","hyphemia","олігемія",NA
"1303","hypnalgia","гіпналгія",NA
"1304","hypnotic sleep","гіпнотичний сон",NA
"1305","hypoacusia","гіпакузія",NA
"1306","hypoacusis","гіпакузія",NA
"1307","hypocholia","гіпохолія",NA
"1308","hypochondriasis","іпохондрія",NA
"1309","hypocone","гіпоконус",NA
"1310","hypoconid","гіпоконід",NA
"1311","hypodermic","підшкірний",NA
"1312","hypoesthesia","гіпестезія",NA
"1313","hypogalactia","гіпогалактія",NA
"1314","hypokinetic constipation","атонічний запор",NA
"1315","hypokinetic syndrome","гіпокінетичний синдром",NA
"1316","hyposmia","гіпосмія",NA
"1317","hypospadias","гіпоспадія",NA
"1318","hypostasis","осад",NA
"1319","hypostasis","застій",NA
"1320","hypostasis","набряк",NA
"1321","hypostatic abscess","гіпостатичний абсцес",NA
"1322","hypostatura","гіпостатура",NA
"1323","hypotension","гіпотонія",NA
"1324","hypotensive patient","гіпотонік",NA
"1325","Hypothalamus","гіпоталамус","Igor Lukyanov"
"1326","hypothermia","гіпотермія",NA
"1327","hypothymia","гіпотимія",NA
"1328","hypothyroid myopathy","гіпотиреоїдна міопатія",NA
"1329","hypothyroidism","гіпотиреоз",NA
"1330","hypotonia","гіпотонія",NA
"1331","hypotonicity","гіпотонія",NA
"1332","hypotony","гіпотонія",NA
"1333","hypotrophy","гіпотрофія",NA
"1334","hypoventilation","гіповентиляція",NA
"1335","hypovolemia","олігемія",NA
"1336","hypoxia","гіпоксія",NA
"1337","hypsicephaly","гіпсицефалія",NA
"1338","hypsicephaly","конічна голова",NA
"1339","hypsicephaly","оксицефалія",NA
"1340","hysteralgia","метралгія",NA
"1341","hysteralgia","метродинія",NA
"1342","hysterectomy","вирізування матки",NA
"1343","hysterocatalepsy","істерокаталепсія",NA
"1344","hysterogenic","що викликає приступ істерії",NA
"1345","hysterogenic","істерогенний",NA
"1346","hysteroid","що нагадує істерію",NA
"1347","hysterometry","зондування матки",NA
"1348","hysteroptosis","метроптоз",NA
"1349","hysteroscope","гістероскоп",NA
"1350","hysteroscope","метроскоп",NA
"1351","hysterotomy","гістеротомія",NA
"1352","hysterotomy","кесарів розтин",NA
"1353","hysterotomy","метратомія",NA
"1354","hysterotomy","метротомія",NA
"1355","iatrogenic injury","ятрогенна травма",NA
"1356","iatrogeny","ятрогенія",NA
"1357","ichthyosis","риб'яча шкіра",NA
"1358","ichthyosis","іхтіоз",NA
"1359","ichthyosis","шкіра алігатора",NA
"1360","ichthyosis congenita","ламелярний іхтіоз",NA
"1361","ichthyotoxicology","іхтіотоксикологія",NA
"1362","icteritious","іктеричний",NA
"1363","icterus","жовтяниця",NA
"1364","ictus","удар пульсу",NA
"1365","idiogenesis","ідіогенез",NA
"1366","idioglossia","ідіоглосія",NA
"1367","idiolalia","ідіолалія",NA
"1368","idiometritis","міометрит",NA
"1369","idiopathic","ідіопатичний",NA
"1370","idiopathic","самостійний",NA
"1371","idiopathic","первинний",NA
"1372","idiopathic","невідомого походження",NA
"1373","idiopathy","хвороба без очевидної причини",NA
"1374","idiosyncrasy","ідіосинкразія",NA
"1375","idiotype","ідіотип",NA
"1376","ignition (blasting) fuse","запалювальна трубка",NA
"1377","illiopsoas sheath","піхва клубово-поперекового м'яза","VladStrannik"
"1378","imbalance","порушення рівноваги",NA
"1379","imbecile","недоумкуватий",NA
"1380","imbecile","слабоумний",NA
"1381","imbecile","імбецильний",NA
"1382","imbecile","ідіот",NA
"1383","imbecile","імбецил",NA
"1384","imbecility","недоумкуватість",NA
"1385","imbecility","імбецильність",NA
"1386","immature birth","пізній викидень",NA
"1387","immaturity","незрілість плоду",NA
"1388","immobilization","тривалий постільний режим",NA
"1389","immobilization","фіксація за допомогою гіпсу",NA
"1390","immobilize","накладати шину",NA
"1391","immobilize","накладати лубок",NA
"1392","immobilize","накладати гіпс",NA
"1393","immobilize","іммобілізувати",NA
"1394","immune protection","імунний захист",NA
"1395","immune serum globulin","імуноглобулін",NA
"1396","immunity","імунітет",NA
"1397","imperfect (inadequate) development","недорозвинення",NA
"1398","imperfect (inadequate) development","недорозвиненість",NA
"1399","imperforate anus","анальна атрезія",NA
"1400","imperforate anus","апроктія",NA
"1401","impervious soil","водонепроникний ґрунт",NA
"1402","impetiginous","гнійний",NA
"1403","impetiginous","імпетигінозний",NA
"1404","impetigo","імпетиго",NA
"1405","implant","капілярна трубочка з радієм",NA
"1406","implant","вводити в тканину капілярні трубочки з радієм",NA
"1407","implantation","імплантація",NA
"1408","implantation","пересадження",NA
"1409","implantation","приживлення",NA
"1410","implantation","нідація",NA
"1411","impostume","нарив",NA
"1412","impotence","імпотенція",NA
"1413","impotence","статеве безсилля",NA
"1414","impotent","імпотент",NA
"1415","impotent","імпотентний",NA
"1416","impotent","безплідний",NA
"1417","inappetency","відсутність апетиту",NA
"1418","inarticulate","нез'єднаний",NA
"1419","inbreeding lines","інбредні лінії",NA
"1420","incarceration","ущемлення",NA
"1421","incarceration","защемлення",NA
"1422","incarceration","інкарцерація",NA
"1423","incarnation","загоювання",NA
"1424","incarnation","розростання грануляцій",NA
"1425","incisive suture","різцевий шов",NA
"1426","incisor tooth","різцевий зуб",NA
"1427","inclination to vomiting","позив до блювоти",NA
"1428","incoercible","невгамовний",NA
"1429","incompetence","недостатність",NA
"1430","incompetency","недостатність",NA
"1431","incomplete pregnancy","недоношена вагітність",NA
"1432","incontinence","нетримання",NA
"1433","incontinence","недержання",NA
"1434","incontinence of urine","сечовиснаження",NA
"1435","incontinent","хворий на нетримання",NA
"1436","incontinent","хворий на недержання",NA
"1437","Indian visceral leishmaniasis","кала-азар",NA
"1438","indigestion","нетравлення шлунка",NA
"1439","indigestion","розлад травлення",NA
"1440","indigestion","диспепсія",NA
"1441","indirect (consequential) losses","непрямі збитки",NA
"1442","indolence","нечутливість до болю",NA
"1443","indolent","безболісний",NA
"1444","indolent","нечутливий",NA
"1445","indoor treatment","стаціонарне лікування",NA
"1446","induced abortion","штучний аборт",NA
"1447","induration","затверділість",NA
"1448","induration","індурація",NA
"1449","ineffective cough","сухий кашель",NA
"1450","infancy","грудний вік",NA
"1451","infant welfare centre","дитяча консультація",NA
"1452","infantile pellagra","гідрокахексія",NA
"1453","infantile tetany","спазмофілія",NA
"1454","infantilism","інфантилізм",NA
"1455","infarct","інфаркт",NA
"1456","infarction","омертвіння у тканинах",NA
"1457","infectious disease","заразна хвороба",NA
"1458","infectious disease","інфекційне захворювання",NA
"1459","infective","інфекційний",NA
"1460","infective episode","спалах інфекції",NA
"1461","inferior dental canal","канал нижньої щелепи",NA
"1462","inferior myocardial infarction","діафрагмальний інфаркт міокарда",NA
"1463","infiltration","інфільтрат",NA
"1464","inflamed","запалений",NA
"1465","inflammation of ileocecal valve","баугініт",NA
"1466","inflammation of the ear","запалення вуха",NA
"1467","inflammation of the lungs","запалення легень",NA
"1468","inflammation of the lungs","пневмонія",NA
"1469","inflammation of the lungs","запалення легенів",NA
"1470","inflammative","запальний",NA
"1471","inflammative","запалений",NA
"1472","inflammatory","запальний",NA
"1473","inflammatory","запалений",NA
"1474","inflammatory atrophy","запальна атрофія",NA
"1475","inflammatory hyperemia","запальна гіперемія",NA
"1476","inflammatory process","запальний процес",NA
"1477","infraction","надлом",NA
"1478","infraorbital abscess","підорбітальний абсцес",NA
"1479","infrequent pulse","повільний пульс",NA
"1480","infriction","утирання",NA
"1481","infuse into","вливати",NA
"1482","infuse into","увілляти",NA
"1483","infusion","внутрішньовенне вливання",NA
"1484","infusion","влиття",NA
"1485","ingrafting","пересадження",NA
"1486","ingrafting","імплантація",NA
"1487","ingravescence","поступове погіршання",NA
"1488","ingravescent","що поступово погіршується",NA
"1489","inguinal hernia","пахова грижа",NA
"1490","inhalant","інгалятор",NA
"1491","inhalant","засіб для інгаляції",NA
"1492","inhalant allergy","легенева алергія",NA
"1493","inhalation","інгаляція",NA
"1494","inhalation","засіб для інгаляції",NA
"1495","inhalation agent","газовий анестетик",NA
"1496","inhale","робити інгаляцію",NA
"1497","initial symptoms of a disease","перші симптоми захворювання",NA
"1498","initiation of treatment","початок лікування",NA
"1499","inject","упорскувати",NA
"1500","inject","уводити",NA
"1501","injection","упорскування","Anuvadak"
"1502","injection","ін'єкція","Anuvadak"
"1503","injection","уливання",NA
"1504","injection","промивальне",NA
"1505","injection","укол",NA
"1506","injection anesthesia","ін'єкційна анестезія","Anuvadak"
"1507","injection therapy","ін'єкційна терапія",NA
"1508","injector","шприц",NA
"1509","injured","травмований",NA
"1510","inlay","пломба",NA
"1511","innate immunity","природжений імунітет",NA
"1512","innate reflex","природжений рефлекс",NA
"1513","inner coat of vessel","внутрішня оболонка судини",NA
"1514","innocent","незлоякісний",NA
"1515","innocent","доброякісний",NA
"1516","inoculable","що передається щепленням",NA
"1517","internal injury","пошкодження внутрішніх органів",NA
"1518","internal neurolysis","ендоневроліз",NA
"1519","internal tolerance","аутотолерантність",NA
"1520","internalization","інтерналізація",NA
"1521","International Classification of Diseases","Міжнародна класифікація хвороб","Anuvadak"
"1522","international normalized ratio","міжнародне нормалізоване відношення","Anuvadak"
"1523","internship doctor","лікар-інтерн",NA
"1524","interplantation","інтерплантація",NA
"1525","intersex","інтерсекс",NA
"1526","intership","інтернатура",NA
"1527","interspecific hybridization","міжвидове схрещування",NA
"1528","interstitial hepatitis","інтерстиціальний гепатит",NA
"1529","interstitioma","інтерстиціома",NA
"1530","intersyndromic","міжсиндромний","Yanamahan"
"1531","intertrigo","попрілість",NA
"1532","intervention","втручання","Yaroslav.cv"
"1533","intestinal asthma","кишкова астма",NA
"1534","intestinal flora","кишкова флора",NA
"1535","intestinal leak","перфорація кишки",NA
"1536","intestinal motility","моторика кишечника",NA
"1537","invasion","початок захворювання",NA
"1538","invasion","приступ хвороби",NA
"1539","invermination","зараження кишковими паразитами",NA
"1540","inversion of uterus","виворіт матки",NA
"1541","involuted","що зменшився до нормальних розмірів",NA
"1542","involution","дегенерація",NA
"1543","involution","зворотний розвиток",NA
"1544","involutional depression","інволюційна депресія",NA
"1545","involutional melancholia","інволюційна депресія",NA
"1546","involutional psychosis","інволюційний психоз",NA
"1547","involutional psychosis","інволюційна депресія",NA
"1548","involvement","ураження",NA
"1549","iodide bath","йодна ванна",NA
"1550","iodide-bromine bath","йодо-бромна ванна",NA
"1551","iodism","отруєння йодом",NA
"1552","iodized protein","йодопротеїн",NA
"1553","ioduria","йодурія",NA
"1554","ionizing radiation background","радіаційний фон",NA
"1555","ionizing radioactive background","радіаційний фон",NA
"1556","iontophoresis","іонофорез",NA
"1557","isotonic","ізотонічний",NA
"1558","isotypy","ізотипія",NA
"1559","issue","виділення",NA
"1560","isthmoparalysis","істмоплегія",NA
"1561","isthmoplegia","істмоплегія",NA
"1562","isthmorrhaphia","істморафія",NA
"1563","isthmotomy","істмотомія",NA
"1564","isthmus of gland","перешийок залози",NA
"1565","itch","короста",NA
"1566","itch","свербець",NA
"1567","itinerarium","ітинерарій",NA
"1568","IV fluids","внутрішньовенне вливання","Anuvadak"
"1569","ivory bones","окам'янілість кісток",NA
"1570","jacket crown tooth","зуб з коронкою",NA
"1571","jacket crowned tooth","зуб з коронкою",NA
"1572","Jacob's ulcer","епітелібма обличчя",NA
"1573","jactation","судорожне сіпання",NA
"1574","jactitation","судорожне сіпання",NA
"1575","jam","транспортна пробка",NA
"1576","janiceps","краніопаг",NA
"1577","kinesiology","кінезіологія",NA
"1578","kinesitherapy","кінезітерапія",NA
"1579","kinetic energy released in material","керма",NA
"1580","kinic acid","хінна кислота",NA
"1581","knee-jerk","колінний рефлекс",NA
"1582","knee-reflex","колінний рефлекс",NA
"1583","knife","скальпель",NA
"1584","knife wound","ножова рана",NA
"1585","knit","зрощувати",NA
"1586","knitting","зрощування",NA
"1587","knotted suture","затягнутий шов",NA
"1588","koilonychia","койлоніхія",NA
"1589","kraurosis","крауроз",NA
"1590","Kussmaul's coma","діабетична кома",NA
"1591","kynorexia","кінорексія",NA
"1592","kyphosis","кіфоз",NA
"1593","kyphosis","кругла спина",NA
"1594","kyphosis","згорбленість",NA
"1595","labial occlusion","лабіальна оклюзія",NA
"1596","labile psychopath","лабільний психопат",NA
"1597","laryngeal vertigo","бетолепсія",NA
"1598","laryngitis","ларингіт",NA
"1599","laryngitis","запалення гортані",NA
"1600","laryngography","ларингографія",NA
"1601","laryngoscope","ларингоскоп",NA
"1602","laryngotomy","ларинготомія",NA
"1603","laser knife","лазерний скальпель",NA
"1604","laser knife","світловий скальпель",NA
"1605","laser therapy","лазеротерапія",NA
"1606","late diagnosis","запізнілий діагноз",NA
"1607","latency period","інкубаційний період",NA
"1608","latent gonorrhea","асимптомна гонорея",NA
"1609","latent microbism","маскована інфекція",NA
"1610","latent occult infection","маскована інфекція",NA
"1611","latent period","інкубаційний період",NA
"1612","latent period","латентний період",NA
"1613","lateral incision","боковий розріз",NA
"1614","lateral meniscus","зовнішній меніск",NA
"1615","lateral position","бокове положення",NA
"1616","lateral position","латеральне положення",NA
"1617","leukomyelitis","лейкомієліт",NA
"1618","leukomyelopathy","лейкомієлопатія",NA
"1619","leukonychia","лейконіхія",NA
"1620","leukoplakia","лейкоплакія",NA
"1621","leukoplasia","лейкоплакія",NA
"1622","leukopoiesis","лейкопоез",NA
"1623","leukosis","лейкоз",NA
"1624","levator (ani) outlet","леватор-синдром",NA
"1625","levigation","розтирання",NA
"1626","lichen","лишай",NA
"1627","lichen pilaris","волосяний лишай",NA
"1628","lichen ruber planus","червоний плескатий лишай",NA
"1629","lichenous","лихеноідний",NA
"1630","life expectancy","тривалість життя","Lviv_linguist"
"1631","life-saving institution","організація швидкої допомоги",NA
"1632","life-saving institution","заклад швидкої допомоги",NA
"1633","ligamentalgia","десмалгія",NA
"1634","ligamentitis","десміт",NA
"1635","ligate","накладати лігатуру",NA
"1636","ligate","перев'язувати",NA
"1637","littritis","літреїт",NA
"1638","liver adenoma","гепатоаденома",NA
"1639","liver cell carcinoma","гепатома",NA
"1640","liver function test","печінкова проба",NA
"1641","liver-complication","ускладнення, пов'язані з печінкою",NA
"1642","liver-kidney syndrome","гепатонефроз",NA
"1643","load capacity","завантаженість",NA
"1644","load on health personnel","навантаження медичного персоналу",NA
"1645","lobar pneumonia","крупозна пневмонія",NA
"1646","lobar pneumonia","крупозне запалення легенів",NA
"1647","lobectomy","лобектомія",NA
"1648","lobitis","лобіт",NA
"1649","lobotomy","лоботомія",NA
"1650","lobster-claw hand","розщеплена кисть",NA
"1651","local infection","локалізований інфекційний процес",NA
"1652","localization","локалізація місця ураження",NA
"1653","localization","локалізація місця захворювання",NA
"1654","localization","визначення місця ураження",NA
"1655","localization","визначення місця захворювання",NA
"1656","localized film","прицільний рентгенівський знімок",NA
"1657","lung cavity","легенева каверна",NA
"1658","lung fever","крупозне запалення легенів",NA
"1659","lung markings","легеневий малюнок","Anuvadak"
"1660","lung specialist","пульмонолог",NA
"1661","lung-tester","спірометр",NA
"1662","lungs","легені","Roksolana_Hrydnova"
"1663","lupoid","люпоїд",NA
"1664","lupoid hepatitis","люпоїдний гепатит",NA
"1665","lupus","вовчак",NA
"1666","lupus","вовчий лишай",NA
"1667","lupus","туберкульоз шкіри",NA
"1668","lupus erythematosus","червоний вовчак",NA
"1669","luteoma","лютеома",NA
"1670","luxate","вивихнути",NA
"1671","luxation","вивих",NA
"1672","luxation","звих",NA
"1673","lycanthropy","лікантропія",NA
"1674","lying supine","положення на спині",NA
"1675","lying-in woman","роділля",NA
