"Medicine name";"EML section";"Formulations";"Indication";"ATC codes";"Combined with";"Status"
"cyclophosphamide";"Cytotoxic medicines";"Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet";"Anaplastic large cell lymphoma, ALK-negative";"L01AA01";;"Added"
"cyclophosphamide";"Cytotoxic medicines";"Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet";"Anaplastic large cell lymphoma, ALK-positive";"L01AA01";;"Added"
"cycloserine";"Antituberculosis medicines";"Oral > Solid: 250 mg; 125 mg";"Multi-drug resistant Mycobacterium tuberculosis";"J04AB01";;"Added"
"cytarabine";"Cytotoxic medicines";"Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial";"Unspecified malignant neoplasms of ill-defined or unspecified sites";"L01BC01";;"Removed"
"cytarabine";"Cytotoxic medicines";"Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial";"Lymphoid leukaemia, not elsewhere classified";"L01BC01";;"Added"
"cytarabine";"Cytotoxic medicines";"Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial";"Myeloid leukaemia";"L01BC01";;"Added"
"cytarabine";"Cytotoxic medicines";"Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial";"Acute myeloid leukaemia with recurrent genetic abnormalities";"L01BC01";;"Added"
"cytarabine";"Cytotoxic medicines";"Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial";"Burkitt lymphoma including Burkitt leukaemia";"L01BC01";;"Added"
"cytarabine";"Cytotoxic medicines";"Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial";"Anaplastic large cell lymphoma, ALK-negative";"L01BC01";;"Added"
"cytarabine";"Cytotoxic medicines";"Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial";"Anaplastic large cell lymphoma, ALK-positive";"L01BC01";;"Added"
"cytarabine";"Cytotoxic medicines";"Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial";"Langerhans cell histiocytosis";"L01BC01";;"Added"
"dabigatran";"Medicines affecting coagulation";"Oral > Solid: 110 mg; 150 mg";"Venous thromboembolism";"B01AE07";;"Added"
"dabigatran";"Medicines affecting coagulation";"Oral > Solid: 110 mg; 150 mg";"Other specified atrial fibrillation";"B01AE07";;"Added"
"dabrafenib";"Targeted therapies";"Oral > Solid: 50 mg; 75 mg";"Other specified melanoma of skin";"L01EC02";;"Removed"
"dacarbazine";"Cytotoxic medicines";"Parenteral > General injections > IV: 100 mg in vial powder for injection; 200 mg in vial powder for injection";"Hodgkin lymphoma";"L01AX04";;"Added"
"daclatasvir";"Medicines for hepatitis C > Pangenotypic direct-acting antiviral combinations";"Oral > Solid: 30 mg tablet (as hydrochloride); 60 mg tablet (as hydrochloride)";"Chronic hepatitis C";"J05AP07";;"Added"
"daclatasvir + sofosbuvir";"Medicines for hepatitis C > Pangenotypic direct-acting antiviral combinations";"Oral > Solid: 60 mg + 400 mg";"Chronic hepatitis C";"J05AP07, J05AP08";;"Added"
"dactinomycin";"Cytotoxic medicines";"Parenteral > General injections > IV: 500 µg in vial powder for injection";"Malignant trophoblastic neoplasms of placenta";"L01DA01";;"Added"
"dactinomycin";"Cytotoxic medicines";"Parenteral > General injections > IV: 500 µg in vial powder for injection";"Unspecified malignant neoplasms of ill-defined or unspecified sites";"L01DA01";;"Removed"
"dactinomycin";"Cytotoxic medicines";"Parenteral > General injections > IV: 500 µg in vial powder for injection";"Malignant neoplasms of kidney, except renal pelvis";"L01DA01";;"Added"
"dactinomycin";"Cytotoxic medicines";"Parenteral > General injections > IV: 500 µg in vial powder for injection";"Rhabdomyosarcoma primary site";"L01DA01";;"Added"
"dactinomycin";"Cytotoxic medicines";"Parenteral > General injections > IV: 500 µg in vial powder for injection";"Ewing sarcoma of bone and articular cartilage of unspecified sites";"L01DA01";;"Added"
"dalteparin";"Medicines affecting coagulation";;"Acute ischaemic heart disease";;;"Added"
"dalteparin";"Medicines affecting coagulation";;"Venous thromboembolism";;;"Added"
"dapagliflozin";"Oral hypoglycaemic agents";;"Type 2 diabetes mellitus";;;"Added"
"dapsone";"Antileprosy medicines";"Oral > Solid: 100 mg tablet; 50 mg tablet; 25 mg tablet";"Leprosy";"J04BA02";;"Added"
"daptomycin";"Reserve group antibiotics";"Parenteral > General injections > IV: 350 mg in vial powder for injection; 500 mg in vial powder for injection";"Other specified bacterial diseases";"J01XX09";;"Removed"
"daratumumab";"Immunomodulators";"Parenteral > General injections > IV: 100 mg per 5 mL; 400 mg per 20 mL";"Plasma cell myeloma";"L01FC01";;"Removed"
"darbepoetin alfa";"Antianaemia medicines";;"Anaemia due to chronic disease";;;"Added"
"darunavir";"Antiretrovirals > Protease inhibitors";"Oral > Solid: 75 mg; 400 mg; 600 mg; 800 mg";"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified";"J05AE10";;"Added"
"dasabuvir";"Medicines for hepatitis C > Non-pangenotypic direct-acting antiviral combinations";"Oral > Solid: 250 mg tablet";"Chronic hepatitis C";"J05AX16";;"Removed"
"dasatinib";"Targeted therapies";"Oral > Solid: 20 mg tablet; 50 mg tablet; 70 mg tablet; 80 mg tablet; 100 mg tablet; 140 mg tablet";"Chronic myeloid leukaemia, not elsewhere classified";"L01EA02";;"Added"
"daunorubicin";"Cytotoxic medicines";"Parenteral > General injections > IV: 50 mg in vial (as hydrochloride) powder for injection; 20 mg in vial (as hydrochloride) powder for injection; 2 mg per  mL in vial (as hydrochloride); 5 mg per  mL in vial (as hydrochloride)";"Lymphoid leukaemia, not elsewhere classified";"L01DB02";;"Added"
"daunorubicin";"Cytotoxic medicines";"Parenteral > General injections > IV: 50 mg in vial (as hydrochloride) powder for injection; 20 mg in vial (as hydrochloride) powder for injection; 2 mg per  mL in vial (as hydrochloride); 5 mg per  mL in vial (as hydrochloride)";"Myeloid leukaemia";"L01DB02";;"Added"
"daunorubicin";"Cytotoxic medicines";"Parenteral > General injections > IV: 50 mg in vial (as hydrochloride) powder for injection; 20 mg in vial (as hydrochloride) powder for injection; 2 mg per  mL in vial (as hydrochloride); 5 mg per  mL in vial (as hydrochloride)";"Acute myeloid leukaemia with recurrent genetic abnormalities";"L01DB02";;"Added"
"deferoxamine";"Antidotes and other substances used in poisonings > Specific";"Parenteral > General injections > unspecified: 500 mg in vial powder for injection (mesilate)";"Harmful effects of drugs, medicaments or biological substances, not elsewhere classified";"V03AC01";;"Added"
"delafloxacin";"Watch group antibiotics";"Parenteral > General injections > IV: 300 mg lyophilized powder for injection
Oral > Solid: 450 mg";"Methicillin resistant Staphylococcus aureus";"J01MA23";;"Removed"
"delamanid";"Antituberculosis medicines";"Oral > Solid: 50 mg tablet; 25 mg tablet (dispersible)";"Multi-drug resistant Mycobacterium tuberculosis";"J04AK06";;"Added"
"dengue vaccine";"Recommendations for some high-risk populations";"All vaccines should comply with the WHO requirements for biological substances.";"Need for immunization against certain single viral diseases";"J07BX04";;"Added"
"desmopressin";"Medicines affecting coagulation";"Parenteral > General injections > IV: 4 µg per  mL in 1 mL ampoule (acetate)
Local > Nasal > Spray: 10 µg per  dose (acetate)";"Haemophilia A";"H01BA02";;"Added"
"desmopressin";"Medicines affecting coagulation";"Parenteral > General injections > IV: 4 µg per  mL in 1 mL ampoule (acetate)
Local > Nasal > Spray: 10 µg per  dose (acetate)";"Von Willebrand disease";"H01BA02";;"Added"
"dexamethasone";"Other medicines administered to the mother";"Parenteral > General injections > unspecified: 4 mg per  mL (dexamethasone phosphate (as sodium))";"Respiratory distress syndrome of the newborn, altered by maternal corticosteroid therapy";"H02AB02";;"Added"
"dexamethasone";"Hormones and antihormones";"Oral > Solid: 4 mg
Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosophate salt)
Oral > Liquid: 2 mg per 5 mL
Oral > Solid: 2 mg; 4 mg";"Plasma cell myeloma";"L01AA01";;"Added"
"dexamethasone";"Hormones and antihormones";"Oral > Solid: 4 mg
Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosophate salt)
Oral > Liquid: 2 mg per 5 mL
Oral > Solid: 2 mg; 4 mg";"Lymphoid leukaemia, not elsewhere classified";"H02AB02";;"Added"
"dexamethasone";"Hormones and antihormones";"Oral > Solid: 4 mg
Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosophate salt)
Oral > Liquid: 2 mg per 5 mL
Oral > Solid: 2 mg; 4 mg";"Burkitt lymphoma including Burkitt leukaemia";"H02AB02";;"Added"
"dexamethasone";"Hormones and antihormones";"Oral > Solid: 4 mg
Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosophate salt)
Oral > Liquid: 2 mg per 5 mL
Oral > Solid: 2 mg; 4 mg";"Anaplastic large cell lymphoma, ALK-negative";"H02AB02";;"Added"
"dexamethasone";"Hormones and antihormones";"Oral > Solid: 4 mg
Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosophate salt)
Oral > Liquid: 2 mg per 5 mL
Oral > Solid: 2 mg; 4 mg";"Anaplastic large cell lymphoma, ALK-positive";"H02AB02";;"Added"
"dexamethasone";"Antiallergics and medicines used in anaphylaxis";"Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosphate salt)";"Allergic or hypersensitivity conditions of unspecified type";"H02AB02";;"Added"
"dexamethasone";"Medicines for other common symptoms in palliative care";"Oral > Liquid: 2 mg per 5 mL
Oral > Solid: 2 mg; 4 mg
Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosphate salt)";"Palliative care";"C05AA09";;"Added"
"dexamethasone";"Antiemetic medicines";"Oral > Liquid: 0.5 mg per 5 mL; 2 mg per 5 mL
Oral > Solid: 0.5 mg; 0.75 mg; 1.5 mg; 4 mg
Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosphate salt)";"Nausea or vomiting";"H02AB02";;"Added"
"dextran 40";"Plasma substitutes";".";"Hypovolaemia";"B05AA05";;"Removed"
"dextran 70";"Plasma substitutes";"Parenteral > General injections > IV: 6% injectable solution";"Hypovolaemia";"B05AA05";;"Added"
"diaphragms";"Barrier methods";"-";"Contact with health services for contraceptive management";;;"Added"
"diazepam";"Antiseizure medicines";"
Local > Rectal > Gel: 5 mg per  mL in 0.5 mL rectal delivery system; 5 mg per  mL in 2 mL rectal delivery system; 5 mg per  mL in 4 mL rectal delivery system
Local > Rectal > Solution: 2 mg per  mL in 1.25 mL rectal tube; 2 mg per  mL in 2.5 mL rectal tube; 4 mg per  mL in 2.5 mL rectal tube";"Status epilepticus";;;"Added"
"diazepam";"Antiseizure medicines";"
Local > Rectal > Gel: 5 mg per  mL in 0.5 mL rectal delivery system; 5 mg per  mL in 2 mL rectal delivery system; 5 mg per  mL in 4 mL rectal delivery system
Local > Rectal > Solution: 2 mg per  mL in 1.25 mL rectal tube; 2 mg per  mL in 2.5 mL rectal tube; 4 mg per  mL in 2.5 mL rectal tube";"Status epilepticus";"N05BA01";;"Added"
"diazepam";"Medicines for other common symptoms in palliative care";"Oral > Liquid: 2 mg per 5 mL
Oral > Solid: 5 mg; 10 mg
Local > Rectal > Gel: 5 mg per  mL in 0.5 mL rectal delivery system; 5 mg per  mL in 2 mL rectal delivery system; 5 mg per  mL in 4 mL rectal delivery system
Local > Rectal > Solution: 2 mg per  mL in 1.25 mL rectal tube; 2 mg per  mL in 2.5 mL rectal tube; 4 mg per  mL in 2.5 mL rectal tube
Parenteral > General injections > unspecified: 5 mg per  mL";"Palliative care";"N05BA01";;"Added"
"diazoxide";"Medicines for hypoglycaemia";"Oral > Liquid: 50 mg per  mL
Oral > Solid: 50 mg";"Persistent hyperinsulinaemic hypoglycaemia of infancy";"V03AH01";;"Added"
"didanosine";"Antiretrovirals > Nucleoside/Nucleotide reverse transcriptase inhibitors";"Oral > Liquid: 100 mg buffered powder for oral solution; 167 mg buffered powder for oral solution; 250 mg buffered powder for oral solution
Oral > Solid: 25 mg buffered chewable dispersible tablet; 50 mg buffered chewable dispersible tablet; 100 mg buffered chewable dispersible tablet; 150 mg buffered chewable dispersible tablet; 200 mg buffered chewable dispersible tablet; 125 mg unbuffered enteric coated capsule; 200 mg unbuffered enteric coated capsule; 250 mg unbuffered enteric coated capsule; 400 mg unbuffered enteric coated capsule";"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified";"J05AF02";;"Removed"
"diethylcarbamazine";"Antifilarials";"Oral > Solid: 50 mg tablet (dihydrogen citrate); 100 mg tablet (dihydrogen citrate)";"Lymphatic filariasis";"P02CB02";;"Added"
"digitoxin";"Medicines used in heart failure";"Parenteral > General injections > IV: 0.2 mg in 1 mL ampoule
Oral > Solid: 50 µg; 100 µg";"Heart failure";"C01AA04";;"Removed"
"digoxin";"Antiarrhythmic medicines";"Parenteral > General injections > IV: 250 µg per  mL in 2 mL ampoule
Oral > Liquid: 50 µg per  mL
Oral > Solid: 62.5 µg; 250 µg";"Cardiac arrhythmia";"C01AA05";;"Added"
"digoxin";"Medicines used in heart failure";"Parenteral > General injections > IV: 250 µg per  mL in 2 mL ampoule; 100 µg per  mL in 1 mL ampoule
Oral > Liquid: 50 µg per  mL
Oral > Solid > tablet: 62.5 µg; 250 µg; 125 µg";"Heart failure";"C01AA05";;"Added"
"dihydroartemisinin + piperaquine phosphate";"Antimalarial medicines > For curative treatment";"Oral > Solid: 40 mg + 320 mg tablet; 20 mg + 160 mg tablet";"Malaria due to Plasmodium falciparum";"P01BF05";;"Added"
"dihydroartemisinin + piperaquine phosphate";"Antimalarial medicines > For curative treatment";"Oral > Solid: 40 mg + 320 mg tablet; 20 mg + 160 mg tablet";"Malaria due to Plasmodium vivax";"P01BF05";;"Added"
"dihydroergocryptine mesylate";"Antiseizure medicines";"Oral > Solid: ";"Parkinson disease";"N04BC03";;"Removed"
"diloxanide";"Antiamoebic and antigiardiasis medicines";"Oral > Solid: 500 mg (furoate)";"Amoebiasis";"P01AC01";;"Added"
"dimercaprol";"Antidotes and other substances used in poisonings > Specific";"Parenteral > General injections > IM: 50 mg per  mL in 2 mL ampoule";"Harmful effects of or exposure to noxious substances, chiefly nonmedicinal as to source, not elsewhere classified";"V03AB09";;"Added"
"diphtheria antitoxin";"Immunologicals > Sera, immunoglobulins and monoclonal antibodies";"Parenteral > General injections > IM: 10000 IU in vial; 20000 IU in vial";"Need for immunization against diphtheria alone";"J06AA01";;"Added"
"diphtheria vaccine";"Recommendations for all immunization programmes";"All vaccines should comply with the WHO requirements for biological substances.";"Need for immunization against diphtheria alone";"J07AF01";;"Added"
"diphtheria-pertussis-tetanus vaccine";"Recommendations for all immunization programmes";"All vaccines should comply with the WHO requirements for biological substances.";"Need for immunization against diphtheria-tetanus-pertussis, combined";"J07AJ52";;"Removed"
"diphtheria-tetanus vaccine";"Recommendations for all immunization programmes";"All vaccines should comply with the WHO requirements for biological substances.";"Need for immunization against combinations of infectious diseases";"J07AM51";;"Removed"
"docetaxel";"Cytotoxic medicines";"Parenteral > General injections > IV: 20 mg per  mL; 40 mg per  mL";"Other specified malignant neoplasms of breast";"L01CD02";;"Added"
"docetaxel";"Cytotoxic medicines";"Parenteral > General injections > IV: 20 mg per  mL; 40 mg per  mL";"Malignant neoplasms of breast";"L01CD02";;"Added"
"docetaxel";"Cytotoxic medicines";"Parenteral > General injections > IV: 20 mg per  mL; 40 mg per  mL";"Malignant neoplasms of prostate";"L01CD02";;"Added"
"docetaxel";"Cytotoxic medicines";"Parenteral > General injections > IV: 20 mg per  mL; 40 mg per  mL";"Unspecified malignant neoplasms of ill-defined or unspecified sites";"L01CD02";;"Removed"
"docusate sodium";"Medicines for other common symptoms in palliative care";"Oral > Liquid: 50 mg per 5 mL oral liquid
Oral > Solid: 100 mg capsule";"Palliative care";"A06AA02";;"Added"
"dolasetron";"Medicines for other common symptoms in palliative care";;"Palliative care";;;"Added"
"dolasetron";"Antiemetic medicines";;"Nausea or vomiting";;;"Added"
"dolutegravir";"Antiretrovirals > Integrase inhibitors";"Oral > Solid: 50 mg tablet; 10 mg tablet (dispersible, scored)";"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified";"J05AJ03";;"Added"
"dolutegravir + lamivudine + tenofovir";"Fixed-dose combinations of antiretrovirals";"Oral > Solid: 50 mg + 300 mg + 300 mg (tenofovir disoproxil fumarate equivalent to 245 mg tenofovir disoproxil)";"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified";"J05AR27";;"Added"
"donepezil";"Medicines for diseases of the nervous system";"Oral > Liquid: 1 mg per  mL (hydrochloride)
Oral > Solid > tablet: 5 mg (hydrochloride); 10 mg (hydrochloride); 5 mg (hydrochloride) (orodispersible); 10 mg (hydrochloride) (orodispersible)";"Dementia due to Alzheimer disease";"N06DA02";;"Removed"
"dopamine";"Medicines used in heart failure";"Parenteral > General injections > IV: 40 mg per  mL in 5 mL vial (hydrochloride)";"Heart failure";"C01CA04";;"Added"
"dopamine";"Medicines used in heart failure";"Parenteral > General injections > IV: 40 mg per  mL in 5 mL vial (hydrochloride)";"Cardiogenic shock";"C01CA04";;"Added"
"doxorubicin";"Cytotoxic medicines";"Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)";"Unspecified malignant neoplasms of ill-defined or unspecified sites";"L01DB01";;"Removed"
"doxorubicin";"Cytotoxic medicines";"Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)";"Rhabdomyosarcoma primary site";"L01DB01";;"Removed"
"doxorubicin";"Cytotoxic medicines";"Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)";"Follicular lymphoma";"L01DB01";;"Added"
"doxorubicin";"Cytotoxic medicines";"Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)";"Burkitt lymphoma including Burkitt leukaemia";"L01DB01";;"Added"
"doxorubicin";"Cytotoxic medicines";"Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)";"Ewing sarcoma of bone and articular cartilage of unspecified sites";"L01DB01";;"Added"
"doxorubicin";"Cytotoxic medicines";"Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)";"Malignant neoplasms of breast";"L01DB01";;"Added"
"doxorubicin";"Cytotoxic medicines";"Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)";"Lymphoid leukaemia, not elsewhere classified";"L01DB01";;"Added"
"doxorubicin";"Cytotoxic medicines";"Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)";"Other specified malignant neoplasms of breast";"L01DB01";;"Added"
"doxorubicin";"Cytotoxic medicines";"Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)";"Diffuse large B-cell lymphomas";"L01DB01";;"Added"
"doxorubicin";"Cytotoxic medicines";"Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)";"Plasma cell myeloma";"L01AA01";;"Added"
"doxorubicin";"Cytotoxic medicines";"Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)";"Malignant neoplasms of kidney, except renal pelvis";"L01DB01";;"Added"
"doxorubicin";"Cytotoxic medicines";"Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)";"Osteosarcoma of bone and articular cartilage of unspecified sites";"L01DB01";;"Added"
"doxorubicin";"Cytotoxic medicines";"Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)";"Kaposi sarcoma of unspecified primary site";"L01DB01";;"Added"
"doxorubicin";"Cytotoxic medicines";"Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)";"Hodgkin lymphoma";"L01DB01";;"Added"
"doxorubicin";"Cytotoxic medicines";"Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)";"Anaplastic large cell lymphoma, ALK-negative";"L01DB01";;"Added"
"doxorubicin";"Cytotoxic medicines";"Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)";"Anaplastic large cell lymphoma, ALK-positive";"L01DB01";;"Added"
