"atc_classification","activeingredient","activeingredient_cy","brandname_uk_cy","brandname_uk_lat","manufacturer","dosage_cy","dosage","info_uk","brandname_uk_lat_translit","brandname_uk_lat_merge"
"N05CM","['Comb drug']","['Валеріани сухого екстракту', 'м’яти перцевої екстракту сухого', 'меліси  екстракту сухого']","РЕЛАКСИЛ","RELAXIL","АТ ""Київський вітамінний завод"", Україна","['капсули.']","['capsules.']","https://compendium.com.ua/info/170200/relaksil/","RELAKSIL","RELAXIL"
"N05CM","['Comb drug']","['Кореневищ з коренями валеріани', 'плодів глоду', 'трави звіробою', 'листя м’яти перцевої', 'шишок хмелю']","СЕДАВІТ®","SEDAVIT","ПАТ ""Київмедпрепарат "", Україна","['табл.', 'розчин оральний по 100 мл або 200 мл у флаконі']","['tablet.', 'oral solution of 100 ml or 200 ml in a vial']","https://compendium.com.ua/result/?term=%D0%A1%D0%95%D0%94%D0%90%D0%92%D0%98%D0%A2","SEDAVІT®","SEDAVIT"
"N05CM","['Comb drug']","['Екстракт кореневищ із коренями валеріани (Rhizoma cum radicibus Valerianae)', 'сухий екстракт шишок хмелю (Lupuli flos)']","НА СОН","NA SON","ПрАТ «Технолог», Україна","['табл.']","['tablet.']","https://compendium.com.ua/info/172091/na‐son/","NA SON","NA SON"
"N05CM","['Comb drug']","['Hyperici herba (трава звіробою), Passiflorae herba (трава пасифлори), Valerianae radix (корінь валеріани), Crataegi folium cum flore (листя та квітки глоду), Lupuli flos (шишки хмелю), Melissae herba (трава меліси), Sambusi flos (квітки бузини)', 'гвайфенезин']","НОВО‐ПАСИТ","NOVO‐PASSIT","ТЕВА Чех Індастріз с.р.о., Чеська Республіка","['розчин оральний по 100 мл у флаконі', 'по 5 мл у саше', 'табл.']","['oral solution of 100 ml in a vial', '5 ml in a sachet', 'tablet.']","https://compendium.com.ua/info/141162/novo‐passit/","NOVO‐PASIT","NOVO‐PASSIT"
"N05CM","['Comb drug']","['екстракту валеріани (коренів) (Valeriana officinalis L.', 'екстракту листя меліси сухого (Melissa officinalis L.', 'екстракту листя м’яти перцевої сухого (Mentha piperita L.)']","ПЕРСЕН®","PERSEN®","Лек фармацевтична компанія д.д., Словенія","['табл.']","['tablet.']","https://compendium.com.ua/info/2317/persen‐sup‐sup‐/","PERSEN®","PERSEN®"
"N05CM","['Comb drug']","['трави пасифлори сухий екстракт (Passiflora incarnatа L.)', 'листя і квіток глоду сухий екстракт (Crataegus species,']","ПЕРСЕН® КАРДІО","PERSEN® CARDIO","Лек фармацевтична компанія д.д., Словенія","['капсули по 200 мг/160 мг']","['capsules of 200 mg / 160 mg']","https://compendium.com.ua/info/2317/112158/","PERSEN® KARDІO","PERSEN® CARDIO"
"N05CM","['Comb drug']","['екстракт пасифлори (трави) сухий (Passiflora incarnate L.', 'екстракт валеріани (коріння) сухий (Valeriana officinalis L.)']","ПЕРСЕН® НАЙТ","PERSEN® NIGHT","Лек фармацевтична компанія д.д., Словенія","['капсули .']","['capsules.']","https://compendium.com.ua/info/2317/347550/","PERSEN® NAJT","PERSEN® NIGHT"
"N05CM","['Comb drug']","['екстракту валеріани (коренів) (Valeriana officinalis L.)', 'екстракту листя меліси сухого (Melissa officinalis L.)', 'екстракту листя м’яти перцевої сухого (Mentha piperita L.)']","ПЕРСЕН®ФОРТЕ","PERSEN® FORTE","Лек фармацевтична компанія д.д., Словенія","['капсули .']","['capsules.']","https://compendium.com.ua/info/2317/140724/","PERSEN®FORTE","PERSEN® FORTE"
"N05CM","['Comb drug']","['(Valerianae radices extractum spissum)', 'м’яти']","МЕНОВАЛЕН","MENOVALEN","ПАТ ""Науково‐ виробничий центр ""Борщагівський хіміко‐ фармацевтичний завод"", Україна","['капсули.']","['capsules.']","https://compendium.com.ua/info/170192/menovalen/","MENOVALEN","MENOVALEN"
"N05CM","['Comb drug']","['валеріани екстракту сухого (Valeriana officinalis L.)', 'м’яти перцевої екстракту сухого (Mentha piperita L.)', 'м’яти лимонної (меліси) екстракту сухого (Melissa officinalis L.)']","СЕДАСЕН","SEDASEN","Спільне українсько‐ іспанське підприємство ""Сперко Україна"", Україна","['капсули.']","['capsules.']","https://compendium.com.ua/info/173004/129161/","SEDASEN","SEDASEN"
"N05CM","['Comb drug']","['Валеріани кореневищ з коренями екстракту густого (Valerianae)', 'пустирника трави екстракту густого (Leonuri herba)', '', 'глоду плодів екстракту густого (Сrataegi fructus)']","СЕДАФІТОН®","","ПРАТ ""ФІТОФАРМ"", Україна","['табл.', 'краплі оральні по 50 мл у флаконах']","['tablet.', 'oral drops of 50 ml in vials']","https://compendium.com.ua/info/503070/85507‐100112‐112162/https://compendium.com.ua/info/169983/684701/","SEDAFІTON®","SEDAFІTON®"
"N05CM","['Comb drug']","['Сухого екстракту пасифлори (Passiflorae herba)', 'етилового ефіру ‐ бромізовалеріанової кислоти']","СЕДІСТРЕС","SEDISTRESS","ТОВ ""Фарма Старт"", Україна","['табл.']","['tablet.']","https://compendium.com.ua/info/252063/sedistress/","SEDІSTRES","SEDISTRESS"
"N05CM","['Doxylamine']","['Доксиламін']","СОНДОКС®","SONDOX","ПАТ ""Хімфармзавод ""Червона зірка"", Україна /ТОВ ""Фармацевтична компанія ""Здоров\я"", Україна","['табл. по 0,015 г']","['tablet. 0.015 g each']","https://compendium.com.ua/info/166512/sondoks‐sup‐sup‐/","SONDOKS®","SONDOX"
"N05CM","['Doxylamine']","['Доксиламін']","СОНМІЛ","SONMIL","АТ ""Київський вітамінний завод"", м.Київ, Україна","['табл. по 15 мг']","['tablet. 15 mg']","https://compendium.com.ua/info/170205/sonmil/","SONMІL","SONMIL"
"N05CM","['Comb drug']","['Валеріани коренів (Radices Valerianae)', 'м’яти перцевої листя']","ТРИВАЛУМЕН","TRIVALUMEN","ПАТ ""Науково‐ виробничий центр ""Борщагівський","['капсули.']","['capsules.']","https://compendium.com.ua/info/169679/trivalumen/","TRIVALUMEN","TRIVALUMEN"
"nan","['nan']","['(Folia Menthae piperitae)', 'бобівника трилистого листя (Folia Menyanthidis trifoliatae)', 'хмелю супліддя (Strobili lupuli)']","nan","nan","хіміко‐ фармацевтичний завод"", Україна","['nan']","['nan']","https://compendium.com.ua/info/169679/trivalumen/","nan","nan"
"N05CM","['Comb drug']","['траву кропиви собачої (Herba Leonuri)', 'шишки хмелю звичайного (Strobili Lupuli)', 'листя м’яти перцевої (Folia Menthae Piperitae)', 'кореневища з коренями валеріани (Valerianae)', 'корені та кореневища солодки (Glycyrrhizae)']","ТРИВАЛУМЕН‐ЗДОРОВ’Я ФОРТЕ","TRIVALUMEN‐ ZDOROVYE FORTE","ОВ ""Фармекс Груп"", Україна","['капсули.']","['capsules.']","https://compendium.com.ua/info/169679/trivalumen/","TRIVALUMEN‐ZDOROV’Ja FORTE","TRIVALUMEN‐ ZDOROVYE FORTE"
"N05CM","['Comb drug']","['Сrataegi fructus (глоду плоди)', 'leonuri cardiacae herba (собачої кропиви трава)', 'lupuli strobili (хмелю шишки)', 'aveni fructus (вівса плоди)', 'melissae officinalis herba (меліси лікарської трава)', 'coriandri fructus (коріандру плоди)', 'meliloti herba (буркуну трава)']","ФІТОСЕД®","","АТ ""Хімфармзавод ""Червона зірка"", Україна","['капсули.']","['capsules.']","https://compendium.com.ua/info/169273/106097/","FІTOSED®","FІTOSED®"
"N05CM","['Comb drug']","['екстракту сухого траву кропиви собачої', 'шишки хмелю звичайного', 'листя м’яти перцевої', 'кореневища з коренями валеріани, корені', 'кореневища солодки']","ФЛОРИСЕД‐ЗДОРОВ’Я","","ТОВ ""Фармацевтична компанія ""Здоров\я"", Україна","['капсули .']","['capsules.']","https://compendium.com.ua/info/168038/florised‐zdorov_e/","FLORISED‐ZDOROV’Ja","FLORISED‐ZDOROV’Ja"
"N05CM09","['Comb drug']","['сухий екстракт коріння валеріани (Valerianae officinalis)', 'сухий екстракт шишок хмелю (Humuli Lupuli)']","АЛЛУНА","ALLUNA®","Макс Целлєр Зьоне АГ, Швейцарія","['табл.']","['tablet.']","https://compendium.com.ua/info/200244/alluna/","ALLUNA","ALLUNA®"
"N05CM09","['Valerianae radix']","['Валеріани екстракт сухий (valerianae radix);']","ВАЛЕРІАНА","VALERIANA","ПАТ ""Лубнифарм"", Україна","['Настойка для перорального застосування по 25 мл у флаконах']","['Tincture for oral administration of 25 ml in vials']","https://compendium.com.ua/info/372930/6096/","VALERІANA","VALERIANA"
"N05CM09","['Valerianae radix']","['Валеріани екстракт']","НОКСОН","NOKSON","ПАТ ""Київмедпрепарат "", Україна","['табл. по 450 мг,']","['tablet. 450 mg,']","https://compendium.com.ua/info/281100/nokson/","NOKSON","NOKSON"
"N05CM18","['Dexmedetomidine']","['Дексмедетомідин;']","ДЕКСМЕДЕТОМІДИН ЕВЕР ФАРМА","DEXMEDETOMIDIN E EVER PHARMA","ЕВЕР Фарма Єна ГмбХ/ Німеччина","['концентрат для розчину для інфузій, 100 мкг/мл по 2 мл в ампулі по 4 мл у флаконі, по 10 мл у флаконі']","['concentrate for solution for infusion, 100 μg / ml 2 ml in an ampoule 4 ml in a bottle, 10 ml in a bottle']","https://compendium.com.ua/info/345586/deksmedetomidin/","DEKSMEDETOMІDIN EVER FARMA","DEXMEDETOMIDIN E EVER PHARMA"
"N05CM18","['Dexmedetomidine']","['Дексмедетомідин;']","ДЕКСМЕДЕТОМІДИН КАЛЦЕКС","DEXMEDETOMIDIN E KALCEKS","ХБМ Фарма с.р.о., Словаччина /АТ ""Гріндекс"" Латвія","['концентрат для розчину для інфузій, 100 мкг/мл, по 2 мл в ампулі,']","['concentrate for solution for infusion, 100 μg / ml, 2 ml in an ampoule,']","https://compendium.com.ua/info/345586/deksmedetomidin/","DEKSMEDETOMІDIN KALTsEKS","DEXMEDETOMIDIN E KALCEKS"
"N05CM18","['Dexmedetomidine']","['Дексмедетомідин']","МИРОДЕКС","","ТОВ ""Фармідея"", Латвія","['концентрат для розчину для інфузій, 100 мкг/мл, по 2 мл у скляному флаконі,']","['concentrate for solution for infusion, 100 μg / ml, 2 ml in a glass vial,']","https://compendium.com.ua/info/345586/deksmedetomidin/","MIRODEKS","MIRODEKS"
"N05CM50","['Doxylamine, combinations']","['Трави пасифлори (Passiflorae herba), доксиламін (doxilami nе);']","БІОСОН","BIOSON","ТОВ ""Фарма Старт"", Україна","['табл.']","['tablet.']","https://compendium.com.ua/info/255167/bioson/","BІOSON","BIOSON"
"N05CX","['Comb drug']","['етиловий ефір ‐ бромізовалеріанової кислоти', 'ментолу в ментиловому ефірі кислоти ізовалеріанової (валідол)', 'доксиламін']","СОНОБАРБОВАЛ","SONOBARBOVAL","АТ ""Фармак"", Україна","['краплі оральні, розчин по 5 мл у флаконі']","['oral drops, 5 ml solution in a vial']","https://compendium.com.ua/info/358134/sonobarboval/","SONOBARBOVAL","SONOBARBOVAL"
"N06AA02","['Imipramine']","['Іміпрамін']","МЕЛІПРАМІН®","MELIPRAMIN®","ЗАТ Фармацевтичний завод ЕГІС, Угорщина","['табл. по 25 мг']","['tablet. 25 mg each']","https://compendium.com.ua/info/8108/melipramin‐sup‐sup‐/","MELІPRAMІN®","MELIPRAMIN®"
"N06AA04","['Clomipramine']","['Кломіпрамін']","АНАФРАНІЛ®","ANAFRANIL®","Новартіс Фарма С.п.А., Італія","['табл. по 25 мг']","['tablet. 25 mg']","https://compendium.com.ua/info/7245/anafranil","ANAFRANІL®","ANAFRANIL®"
"N06AA04","['Clomipramine']","['Кломіпрамін']","КЛОФРАНІЛ","CLOFRANIL","Сан Фармасьютикал Індастріз Лтд, Індія","['табл. по 25 мг']","['tablet. 25 mg each']","https://compendium.com.ua/info/7245/anafranil","KLOFRANІL","CLOFRANIL"
"N06AA09","['Amitriptyline']","['Амітриптилін']","АМІТРИПТИЛІН","AMITRIPTYLINE","ПрАТ ""Технолог"", Україна","['табл. по 25 мг']","['tablet. 25 mg']","https://compendium.com.ua/info/166162/43070/","AMІTRIPTILІN","AMITRIPTYLINE"
"N06AA09","['Amitriptyline']","['Амітриптилін']","АМІТРИПТИЛІНУ ГІДРОХЛОРИД‐ЗН","AMITRIPTYLINE HYDROCHLORID‐ZN","ТОВ ""Харківське фармацевтичне підприємство ""Здоров\я народу"", Україна","['""розчин для інєкцій, 10 мг/мл по 2 мл в ампулі""']","['solution for injection, 10 mg / ml 2 ml in an ampoule']","https://compendium.com.ua/info/166162/43070/","AMІTRIPTILІNU GІDROHLORID‐ZN","AMITRIPTYLINE HYDROCHLORID‐ZN"
"N06AA09","['Amitriptyline']","['Амітриптилін']","САРОТЕН","SAROTEN®","Х. Лундбек А/С, Данія","['табл. по 25 мг']","['tablet. 25 mg each']","https://compendium.com.ua/info/166162/43070/","SAROTEN","SAROTEN®"
"N06AA12","['Doxepin']","['Доксепін']","ДОКСЕПІН","DOXEPIN","ТОВ Тева Оперейшенз Поланд, Польща","['капсули по 10 мг 25 мг']","['capsules of 10 mg 25 mg']","https://compendium.com.ua/info/3809/6398/","DOKSEPІN","DOXEPIN"
"N06AA12","['Doxepin']","['Доксепін']","ДОКСЕПІН‐ЗН","DOXEPIN‐ZN","ТОВ ""Харківське фармацевтичне підприємство ""Здоров\я народу"", Україна","['капсули по 25 мг']","['capsules of 25 mg']","https://compendium.com.ua/info/3809/6398/","DOKSEPІN‐ZN","DOXEPIN‐ZN"
"N06AB03","['Fluoxetine']","['Флуоксетин']","ФЛУКСЕН®","FLUXEN","ПАТ ""Київмедпрепарат "", Україна","['капсули по 20 мг']","['20 mg capsules']","https://compendium.com.ua/info/168124/fluksen‐sup‐sup‐/","FLUKSEN®","FLUXEN"
"N06AB03","['Fluoxetine']","['Флуоксетин']","ФЛУОКСЕТИН","FLUOXETINE","КУСУМ ХЕЛТХКЕР ПВТ ЛТД, Індія","['капсули по 20 мг']","['20 mg capsules']","https://compendium.com.ua/info/376305/611642‐611643/","FLUOKSETIN","FLUOXETINE"
"N06AB03","['Fluoxetine']","['Флуоксетин']","ПРОДЕП","PRODEP","Сан Фармасьютикал Індастріз Лтд, Індія","['капсули по 20 мг']","['20 mg capsules']","https://compendium.com.ua/info/8884/prodep/","PRODEP","PRODEP"
"N06AB04","['Citalopram']","['Циталопрам']","ЦИПРАМІЛ","CIPRAMIL®","Х. Лундбек А/С, Данія","['табл. по 20 мг']","['tablet. 20 mg each']","https://compendium.com.ua/info/133572/","TsIPRAMІL","CIPRAMIL®"
"N06AB05","['Paroxetine']","['Пароксетин,']","ПАКСИЛ™","РAХIL™","ГлаксоСмітКляйн Фармасьютикалз С.А., Польща","['табл. по 20 мг']","['tablet. 20 mg each']","https://compendium.com.ua/info/_2947/","PAKSIL™","РAХIL™"
"N06AB05","['Paroxetine']","['Пароксетин,']","ПАРОКСЕТИН","PAROXETINE","Медокемі ЛТД, Кіпр","['табл. по 20 мг']","['tablet. 20 mg each']","https://compendium.com.ua/info/168407/paroksetin/","PAROKSETIN","PAROXETINE"
"N06AB05","['Paroxetine']","['Пароксетин,']","ПАРОКСИН","PAROXIN","ТОВ ""Фарма Старт"", Україна","['табл. по 20 мг']","['tablet. 20 mg each']","https://compendium.com.ua/info/169200/paroksin/","PAROKSIN","PAROXIN"
"N06AB05","['Paroxetine']","['Пароксетин,']","РЕКСЕТИН®","REXETIN®","ВАТ ""Гедеон Ріхтер"", Угорщина","['табл. по 20 мг']","['tablet. 20 mg each']","https://compendium.com.ua/info/166451/reksetin‐sup‐sup‐/","REKSETIN®","REXETIN®"
"N06AB06","['Sertraline']","['Сертралін;']","АСЕНТРА®","ASENTRA®","КРКА, д.д., Ново место, Словенія","['табл. по 50 мг, по 100 мг']","['tablet. 50 mg, 100 mg']","https://mozdocs.kiev.ua/likiview.php?id=45022","ASENTRA®","ASENTRA®"
"N06AB06","['Sertraline']","['Сертралін']","ДЕБІТУМ‐САНОВЕЛЬ","DEBITUM‐SANOVEL","Сановель Іляч Санаі ве Тиджарет А.Ш., Туреччина","['табл. по 25 мг 50 мг 100 мг,']","['tablet. 25 mg each 50 mg 100 mg,']","https://mozdocs.kiev.ua/likiview.php?id=45022","DEBІTUM‐SANOVEL'","DEBITUM‐SANOVEL"
"N06AB06","['Sertraline']","['Сертралін']","ЗОЛОФТ®","ZOLOFT®","Хаупт Фарма Латіна С.р.л., Італія","['табл. по 50 мг']","['tablet. 50 mg']","https://mozdocs.kiev.ua/likiview.php?id=43146","ZOLOFT®","ZOLOFT®"
"N06AB06","['Sertraline']","['Сертралін']","СЕРЛІФТ","SERLIFT","Сан Фармасьютикал Індастріз Лімітед, Індія","['табл. по 50 мг 100 мг']","['tablet. 50 mg 100 mg']","https://compendium.com.ua/info/169788/serlift/","SERLІFT","SERLIFT"
"N06AB06","['Sertraline']","['Сертралін']","СЕРТРАЛОФТ 25; СЕРТРАЛОФТ 50; СЕРТРАЛОФТ 100;","SERTRALOFT 25, SERTRALOFT 50, SERTRALOFT 100","ТОВ ""Фармацевтична компанія ""Здоров\я"", Україна","['табл. по 100 мг']","['tablet. 100 mg each']","https://compendium.com.ua/info/169054/","SERTRALOFT 25; SERTRALOFT 50; SERTRALOFT 100;","SERTRALOFT 25, SERTRALOFT 50, SERTRALOFT 100"
"N06AB06","['Sertraline']","['Сертралін']","СТИМУЛОТОН®","STIMULOTON®","ЗАТ Фармацевтичний завод ЕГІС, Угорщина","['табл. по 50 мг']","['tablet. 50 mg']","https://compendium.com.ua/info/166335/stimuloton‐sup‐sup‐/","STIMULOTON®","STIMULOTON®"
"N06AB08","['Fluvoxamine']","['Флувоксамін;']","ФЕВАРИН®","FEVARIN®","Майлан Лабораторіз САС","['табл. по 50 мг 100 мг']","['tablet. 50 mg 100 mg']","https://compendium.com.ua/info/5283/fevarin‐sup‐sup‐/","FEVARIN®","FEVARIN®"
"N06AB10","['Escitalopram']","['Есциталопрам']","ЕЗОПРАМ","EZOPRAM","Актавіс Лтд, Мальта","['капсули по 10 мг 20 мг']","['capsules of 10 mg 20 mg']","https://compendium.com.ua/info/171118/ezopram/","EZOPRAM","EZOPRAM"
"N06AB10","['Escitalopram']","['Есциталопрам']","ЕЗОПРЕКС","","Ейч.Бі.Ем. Фарма, с.р.о., Словацька Республіка","['табл. по 30 мг 60 мг']","['tablet. 30 mg each 60 mg']","https://compendium.com.ua/info/171118/ezopram/","EZOPREKS","EZOPREKS"
"N06AB10","['Escitalopram']","['Есциталопрам']","ДЕПРЕСАН","DEPRESAN","ТОВ ""Харківське фармацевтичне підприємство","['табл. по 5 мг 10 мг 20 мг']","['tablet. 5 mg 10 mg 20 mg']","https://compendium.com.ua/info/220267/depresan/","DEPRESAN","DEPRESAN"
"nan","['nan']","['nan']","nan","nan","""Здоров\я народу"", Україна","['nan']","['nan']","https://compendium.com.ua/info/220267/depresan/","nan","nan"
"N06AB10","['Escitalopram']","['Есциталопрам']","ГІАЦИНТІЯ","GIACINTIA","АТ ""Київський вітамінний завод"", Україна","['табл. по 10 мг']","['tablet. 10 mg']","https://compendium.com.ua/info/351806/","GІATsINTІJa","GIACINTIA"
"N06AB10","['Escitalopram']","['Есциталопрам']","ЕЛІЦЕЯ","ELICEA®","РКА, д.д., Ново место, Словенія","['табл. по 5 мг 10 мг 20 мг']","['tablet. 5 mg 10 mg 20 mg']","https://compendium.com.ua/info/351806/","ELІTsEJa","ELICEA®"
"N06AB10","['Escitalopram']","['Есциталопрам']","ЕССОБЕЛ®","","НОБЕЛ ІЛАЧ САНАЇ ВЕ ТІДЖАРЕТ А.Ш., Туреччина","['табл. по 10 мг 20 мг']","['tablet. 10 mg 20 mg']","https://compendium.com.ua/info/351806/","ESSOBEL®","ESSOBEL®"
"N06AB10","['Escitalopram']","['Есциталопрам']","ЕСЦИТАЛОПРАМ ТЕДЕК","ESCITALOPRAM TEDEC","Тедек‐Мейджі Фарма, С.А.","['табл. по 10 мг 20 мг']","['tablet. 10 mg 20 mg']","https://compendium.com.ua/info/351806/","ESTsITALOPRAM TEDEK","ESCITALOPRAM TEDEC"
"N06AB10","['Escitalopram']","['Есциталопрам']","ЕСЦИТАМ 10; ЕСЦИТАМ 20;","ESCITAM 10; ESCITAM 20;","ТОВ ""Фарма Старт"", Україна","['табл. по 10 мг']","['tablet. 10 mg']","https://compendium.com.ua/info/351806/","ESTsITAM 10; ESTsITAM 20;","ESCITAM 10; ESCITAM 20;"
"N06AB10","['Escitalopram']","['Есциталопрам']","МЕДОПРАМ","MEDOPRAM","Медокемі ЛТД, Кіпр","['табл. по 5 мг 10 мг 20 мг']","['tablet. 5 mg 10 mg 20 mg']","https://compendium.com.ua/info/351806/","MEDOPRAM","MEDOPRAM"
"N06AB10","['Escitalopram']","['Есциталопрам']","ФЕЛІЗ С","","Торрент Фармасьютікалс Лтд, Індія","['табл. по 10 мг']","['tablet. 10 mg']","https://compendium.com.ua/info/351806/","FELІZ S","FELІZ S"
"N06AB10","['Escitalopram']","['Есциталопрам']","ЦИПРАЛЕКС","CIPRALEX®","Х. Лундбек А/С, Данія","['табл. по 10 мг']","['tablet. 10 mg']","https://compendium.com.ua/info/351806/","TsIPRALEKS","CIPRALEX®"
"N06AX03","['Mianserin']","['Міансерин']","МІАСЕР®","MIASER®","Рівофарм СА, Швейцарія","['табл. по 10 мг 30 мг 60 мг']","['tablet. 10 mg 30 mg 60 mg']","https://compendium.com.ua/info/255324/miaser‐sup‐sup‐/","MІASER®","MIASER®"
"N06AX05","['Trazodone']","['Тразодон']","ТРАЗОДОН MC","TRAZODONE MC","Медокемі ЛТД, Кіпр","['табл. по 50 мг 100 мг']","['tablet. 50 mg 100 mg']","https://mozdocs.kiev.ua/likiview.php?id=50941","TRAZODON MC","TRAZODONE MC"
"N06AX05","['Trazodone']","['Тразодон']","ТРИТТІКО","TRITTICO®","Азіенде Кіміке Ріуніте Анжеліні Франческо А.К.Р.А.Ф. С.п.А., Італія","['табл. по 75 мг 150 мг']","['tablet. 75 mg each 150 mg']","https://compendium.com.ua/info/137180/trittiko/","TRITTІKO","TRITTICO®"
"N06AX","['Hypericine*']","['Гіперицин']","ДЕПРИВІТ","DEPRIVIT","АТ ""Київський вітамінний завод"", Україна","['табл. по 60 мг']","['tablet. 60 mg']","https://compendium.com.ua/info/171066/deprivit/","DEPRIVІT","DEPRIVIT"
"N06AX11","['Mirtazapine']","['Міртазапін']","МІРАЗЕП","MIRAZEP","Мікро Лабс Лімітед, Індія","['табл. по 15 мг 30 мг']","['tablet. 15 mg 30 mg']","https://mozdocs.kiev.ua/likiview.php?id=43749","MІRAZEP","MIRAZEP"
"N06AX11","['Mirtazapine']","['Міртазапін']","МІРЗАТЕН","MIRZATEN®","КРКА, д.д., Ново место, Словенія","['табл. по 30 мг 45 мг']","['tablet. 30 mg each 45 mg']","https://mozdocs.kiev.ua/likiview.php?id=49939","MІRZATEN","MIRZATEN®"
"N06AX11","['Mirtazapine']","['Міртазапін']","МІРТАЗАПІН САНДОЗ®","MIRTAZAPIN SANDOZ®","Салютас Фарма ГмбХ, Німеччина","['табл. по 15 мг 30 мг']","['tablet. 15 mg 30 mg']","https://compendium.com.ua/info/169785/mirtazapin‐sandoz‐sup‐sup‐/","MІRTAZAPІN SANDOZ®","MIRTAZAPIN SANDOZ®"
"N06AX16","['Venlafaxine']","['Венлафаксин']","АЛВЕНТА®","ALVENTA®","КРКА, д.д., Ново место, Словенія","['капсули по 75 мг']","['75 mg capsules']","https://mozdocs.kiev.ua/likiview.php?id=48907","ALVENTA®","ALVENTA®"
"N06AX16","['Venlafaxine']","['Венлафаксин;']","ВЕЛАКСИН®","VELAXIN®","ЗАТ Фармацевтичний завод ЕГІС, Угорщина","['капсули по 150 мг  75 мг 37,5 мг']","['capsules of 150 mg 75 mg 37.5 mg']","https://compendium.com.ua/info/169421/velaksin‐sup‐sup‐/","VELAKSIN®","VELAXIN®"
"N06AX16","['Venlafaxine']","['Венлафаксин']","ВЕНЛАКСОР®","VENLAXOR","АТ ""Гріндекс"", Латвія","['табл. по 37,5 мг 75 мг']","['tablet. 37.5 mg each 75 mg']","https://compendium.com.ua/info/169421/velaksin‐sup‐sup‐/","VENLAKSOR®","VENLAXOR"
"N06AX16","['Venlafaxine']","['Венлафаксин']","ВЕНЛАФАКСИН‐ЗН","VENLAFAXIN‐ZN","ТОВ ""Харківське фармацевтичне підприємство ""Здоров\я народу"", Україна","['табл. по 37,5 мг 75 мг']","['tablet. 37.5 mg each 75 mg']","https://compendium.com.ua/info/169421/velaksin‐sup‐sup‐/","VENLAFAKSIN‐ZN","VENLAFAXIN‐ZN"
"N06AX16","['Venlafaxine']","['Венлафаксин']","ВІПАКС XR","VIEPAX XR","Дексель Лтд., Ізраїль","['табл. по 150 мг 75 мг']","['tablet. 150 mg each 75 mg']","https://compendium.com.ua/info/169421/velaksin‐sup‐sup‐/","VІPAKS XR","VIEPAX XR"
"N06AX16","['Venlafaxine']","['Венлафаксин']","МЕДОФАКСИН","MEDOFAXINE","Ципла Лтд, Індія","['капсули по 150 мг  75 мг 37,5 мг']","['capsules of 150 mg 75 mg 37.5 mg']","https://compendium.com.ua/info/169421/velaksin‐sup‐sup‐/","MEDOFAKSIN","MEDOFAXINE"
"N06AX21","['Duloxetine']","['Дулоксетин']","ДЕПРАТАЛ","DEPRATAL","Адамед Фарма С.А., Польща/ Іспанія","['табл. по 30 мг 60 мг']","['tablet. 30 mg each 60 mg']","https://compendium.com.ua/info/385287/depratal/","DEPRATAL","DEPRATAL"
"N06AX21","['Duloxetine']","['Дулоксетин']","ДЕПУЛОКСА","DEPULOXA","Гетеро Лабз Лімітед, Індія","['капсули по 30 мг 60 мг']","['capsules of 30 mg 60 mg']","https://compendium.com.ua/info/385287/depratal/","DEPULOKSA","DEPULOXA"
"N06AX21","['Duloxetine']","['Дулоксетин']","ДЕФАКСТО 30; ДЕФАКСТО 60;","DEFAXTO 30; DEFAXTO 60;","""Алємбік Фармасютікелс Лімітед, Індія""","['капсули по 30 мг 60 мг']","['capsules of 30 mg 60 mg']","https://compendium.com.ua/info/385287/depratal/","DEFAKSTO 30; DEFAKSTO 60;","DEFAXTO 30; DEFAXTO 60;"
"N06AX21","['Duloxetine']","['Дулоксетин']","ДУЛОКЕМ 30; ДУЛОКЕМ 60;","","Алкем Лабораторіз Лтд, Індія","['капсули по 30 мг']","['capsules of 30 mg']","https://compendium.com.ua/info/385287/depratal/","DULOKEM 30; DULOKEM 60;","DULOKEM 30; DULOKEM 60;"
"N06AX21","['Duloxetine']","['Дулоксетин']","ДУЛОКСЕНТА","DULOXENTA®","КРКА, д.д., Словенія","['капсули по 30 мг 60 мг']","['capsules of 30 mg 60 mg']","https://compendium.com.ua/info/385287/depratal/","DULOKSENTA","DULOXENTA®"
"N06AX21","['Duloxetine']","['Дулоксетин']","ДУЛОТ","DULOT","Люпін Лімітед, Індія","['капсули по 30 мг 60 мг']","['capsules of 30 mg 60 mg']","https://compendium.com.ua/info/385287/depratal/","DULOT","DULOT"
"N06AX21","['Duloxetine']","['Дулоксетин']","ДЮЛОК®","DYULOK","ПАТ ""Фармак"", Україна","['капсули по 30 мг 60 мг']","['capsules of 30 mg 60 mg']","https://compendium.com.ua/info/385287/depratal/","DJuLOK®","DYULOK"
"N06AX21","['Duloxetine']","['Дулоксетин']","СИМБІЯ®","","Балканфарма‐ дупниця АД, Болгарія","['капсули по 30 мг 60 мг']","['capsules of 30 mg 60 mg']","https://compendium.com.ua/info/385287/depratal/","SIMBІJa®","SIMBІJa®"
"N06AX21","['Duloxetine']","['Дулоксетин']","НЕКСЕТИН","NEXETIN","НОБЕЛ ІЛАЧ САНАЇ ВЕ ТІДЖАРЕТ А.Ш., Туреччина","['капсули по 20 мг 40 мг']","['20 mg capsules 40 mg']","https://compendium.com.ua/info/385287/depratal/","NEKSETIN","NEXETIN"
