"Medicine name","EML section","Formulations","Indication","Combined with","Status","atc_classification"
"cobimetinib","Targeted therapies","","Other specified melanoma of skin","","Removed","nan"
"codeine","Opioid analgesics","Oral > Solid: 30 mg tablet (codeine phosphate)","Pain","","Added","nan"
"codeine","Antitussives","Oral > Solid: 10 mg tablet (codeine phosphate)","Cough","","Removed","R05DA04"
"codeine","Medicines for diarrhoea","Oral > Solid: 30 mg tablet (codeine phosphate)","Diarrhoea","","Removed","nan"
"colchicine","Medicines used to treat gout","Oral > Solid: 0.5 mg","Gout","","Removed","M04AC01"
"colecalciferol","Vitamins and minerals","Oral > Liquid: 400 IU per  mL
Oral > Solid: 400 IU; 1000 IU
","Calcium deficiency","","Added","A11CC05"
"colecalciferol","Vitamins and minerals","Oral > Liquid: 400 IU per  mL
Oral > Solid: 400 IU; 1000 IU
","Vitamin D deficiency","","Added","A11CC05"
"colecalciferol","Vitamins and minerals","Oral > Liquid: 400 IU per  mL
Oral > Solid: 400 IU; 1000 IU
","Vitamin D deficiency","","Added","nan"
"colecalciferol","Vitamins and minerals","Oral > Liquid: 400 IU per  mL
Oral > Solid: 400 IU; 1000 IU
","Calcium deficiency","","Added","nan"
"colistin (injection)","Reserve group antibiotics","Parenteral > General injections > unspecified: 1 million IU in vial (as colistemethate sodium)","Other specified bacterial diseases","","Removed","J01XB01"
"compound sodium lactate solution","Solutions correcting water, electrolyte and acid-base disturbances > Parenteral","Parenteral > General injections > IV: injectable solution","Other specified disorders of fluid, electrolyte or acid-base balance","","Added","nan"
"compound sodium lactate solution","Solutions correcting water, electrolyte and acid-base disturbances > Parenteral","Parenteral > General injections > IV: injectable solution","Hypovolaemic shock","","Added","nan"
"condoms","Barrier methods","-","Contact with health services for contraceptive management","","Added","nan"
"copper-containing intrauterine device","Intrauterine devices","-","Contact with health services for insertion of contraceptive device","","Added","G02BA02"
"crizotinib","Targeted therapies","Oral > Solid: 200 mg; 250 mg
Oral > Solid > capsule: 200 mg; 250 mg","Other specified malignant neoplasms of bronchus or lung","","Removed","L01ED01"
"crizotinib","Targeted therapies","Oral > Solid: 200 mg; 250 mg
Oral > Solid > capsule: 200 mg; 250 mg","Anaplastic large cell lymphoma, ALK-positive","","Removed","L01ED01"
"cyanocobalamin","Antianaemia medicines",".","Anaemias or other erythrocyte disorders","","Removed","B03BA01"
"cyclizine","Medicines for other common symptoms in palliative care","Oral > Solid: 50 mg tablet
Parenteral > General injections > unspecified: 50 mg per  mL","Palliative care","","Added","R06AE03"
"cyclopentolate","Diagnostic agents > Ophthalmic medicines","","Cycloplegic drug","","Added","nan"
"cyclopentolate","Ophthalmological preparations > Mydriatics","","Anterior uveitis","","Added","nan"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Unspecified malignant neoplasms of ill-defined or unspecified sites","","Removed","L01AA01"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Burkitt lymphoma including Burkitt leukaemia","","Added","L01AA01"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Malignant neoplasms of breast","","Added","L01AA01"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Ewing sarcoma of bone and articular cartilage of unspecified sites","","Added","L01AA01"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Lymphoid leukaemia, not elsewhere classified","","Added","L01AA01"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Chronic lymphocytic leukaemia or small lymphocytic lymphoma","","Added","L01AA01"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Diffuse large B-cell lymphomas","","Added","L01AA01"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Plasma cell myeloma","","Added","L01AA01"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Other specified gliomas of brain","","Added","L01AA01"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Other specified malignant neoplasms of breast","","Added","L01AA01"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Malignant trophoblastic neoplasms of placenta","","Added","L01AA01"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Follicular lymphoma","","Added","L01AA01"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Malignant neoplasms of kidney, except renal pelvis","","Added","L01AA01"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Rhabdomyosarcoma primary site","","Added","L01AA01"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Hodgkin lymphoma","","Added","L01AA01"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Anaplastic large cell lymphoma, ALK-negative","","Added","L01AA01"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Anaplastic large cell lymphoma, ALK-positive","","Added","L01AA01"
"cycloserine","Antituberculosis medicines","Oral > Solid: 250 mg; 125 mg","Multi-drug resistant Mycobacterium tuberculosis","","Added","J04AB01"
"cytarabine","Cytotoxic medicines","Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial","Unspecified malignant neoplasms of ill-defined or unspecified sites","","Removed","L01BC01"
"cytarabine","Cytotoxic medicines","Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial","Lymphoid leukaemia, not elsewhere classified","","Added","L01BC01"
"cytarabine","Cytotoxic medicines","Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial","Myeloid leukaemia","","Added","L01BC01"
"cytarabine","Cytotoxic medicines","Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial","Acute myeloid leukaemia with recurrent genetic abnormalities","","Added","L01BC01"
"cytarabine","Cytotoxic medicines","Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial","Burkitt lymphoma including Burkitt leukaemia","","Added","L01BC01"
"cytarabine","Cytotoxic medicines","Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial","Anaplastic large cell lymphoma, ALK-negative","","Added","L01BC01"
"cytarabine","Cytotoxic medicines","Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial","Anaplastic large cell lymphoma, ALK-positive","","Added","L01BC01"
"cytarabine","Cytotoxic medicines","Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial","Langerhans cell histiocytosis","","Added","L01BC01"
"dabigatran","Medicines affecting coagulation","Oral > Solid: 110 mg; 150 mg","Venous thromboembolism","","Added","B01AE07"
"dabigatran","Medicines affecting coagulation","Oral > Solid: 110 mg; 150 mg","Other specified atrial fibrillation","","Added","B01AE07"
"dabrafenib","Targeted therapies","Oral > Solid: 50 mg; 75 mg","Other specified melanoma of skin","","Removed","L01EC02"
"dacarbazine","Cytotoxic medicines","Parenteral > General injections > IV: 100 mg in vial powder for injection; 200 mg in vial powder for injection","Hodgkin lymphoma","","Added","L01AX04"
"daclatasvir","Medicines for hepatitis C > Pangenotypic direct-acting antiviral combinations","Oral > Solid: 30 mg tablet (as hydrochloride); 60 mg tablet (as hydrochloride)","Chronic hepatitis C","","Added","J05AP07"
"daclatasvir + sofosbuvir","Medicines for hepatitis C > Pangenotypic direct-acting antiviral combinations","Oral > Solid: 60 mg + 400 mg","Chronic hepatitis C","","Added","J05AP07"
"daclatasvir + sofosbuvir","Medicines for hepatitis C > Pangenotypic direct-acting antiviral combinations","Oral > Solid: 60 mg + 400 mg","Chronic hepatitis C","","Added","J05AP08"
"dactinomycin","Cytotoxic medicines","Parenteral > General injections > IV: 500 µg in vial powder for injection","Malignant trophoblastic neoplasms of placenta","","Added","L01DA01"
"dactinomycin","Cytotoxic medicines","Parenteral > General injections > IV: 500 µg in vial powder for injection","Unspecified malignant neoplasms of ill-defined or unspecified sites","","Removed","L01DA01"
"dactinomycin","Cytotoxic medicines","Parenteral > General injections > IV: 500 µg in vial powder for injection","Malignant neoplasms of kidney, except renal pelvis","","Added","L01DA01"
"dactinomycin","Cytotoxic medicines","Parenteral > General injections > IV: 500 µg in vial powder for injection","Rhabdomyosarcoma primary site","","Added","L01DA01"
"dactinomycin","Cytotoxic medicines","Parenteral > General injections > IV: 500 µg in vial powder for injection","Ewing sarcoma of bone and articular cartilage of unspecified sites","","Added","L01DA01"
"dalteparin","Medicines affecting coagulation","","Acute ischaemic heart disease","","Added","nan"
"dalteparin","Medicines affecting coagulation","","Venous thromboembolism","","Added","nan"
"dapagliflozin","Oral hypoglycaemic agents","","Type 2 diabetes mellitus","","Added","nan"
"dapsone","Antileprosy medicines","Oral > Solid: 100 mg tablet; 50 mg tablet; 25 mg tablet","Leprosy","","Added","J04BA02"
"daptomycin","Reserve group antibiotics","Parenteral > General injections > IV: 350 mg in vial powder for injection; 500 mg in vial powder for injection","Other specified bacterial diseases","","Removed","J01XX09"
"daratumumab","Immunomodulators","Parenteral > General injections > IV: 100 mg per 5 mL; 400 mg per 20 mL","Plasma cell myeloma","","Removed","L01FC01"
"darbepoetin alfa","Antianaemia medicines","","Anaemia due to chronic disease","","Added","nan"
"darunavir","Antiretrovirals > Protease inhibitors","Oral > Solid: 75 mg; 400 mg; 600 mg; 800 mg","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","J05AE10"
"dasabuvir","Medicines for hepatitis C > Non-pangenotypic direct-acting antiviral combinations","Oral > Solid: 250 mg tablet","Chronic hepatitis C","","Removed","J05AX16"
"dasatinib","Targeted therapies","Oral > Solid: 20 mg tablet; 50 mg tablet; 70 mg tablet; 80 mg tablet; 100 mg tablet; 140 mg tablet","Chronic myeloid leukaemia, not elsewhere classified","","Added","L01EA02"
"daunorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg in vial (as hydrochloride) powder for injection; 20 mg in vial (as hydrochloride) powder for injection; 2 mg per  mL in vial (as hydrochloride); 5 mg per  mL in vial (as hydrochloride)","Lymphoid leukaemia, not elsewhere classified","","Added","L01DB02"
"daunorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg in vial (as hydrochloride) powder for injection; 20 mg in vial (as hydrochloride) powder for injection; 2 mg per  mL in vial (as hydrochloride); 5 mg per  mL in vial (as hydrochloride)","Myeloid leukaemia","","Added","L01DB02"
"daunorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg in vial (as hydrochloride) powder for injection; 20 mg in vial (as hydrochloride) powder for injection; 2 mg per  mL in vial (as hydrochloride); 5 mg per  mL in vial (as hydrochloride)","Acute myeloid leukaemia with recurrent genetic abnormalities","","Added","L01DB02"
"deferoxamine","Antidotes and other substances used in poisonings > Specific","Parenteral > General injections > unspecified: 500 mg in vial powder for injection (mesilate)","Harmful effects of drugs, medicaments or biological substances, not elsewhere classified","","Added","V03AC01"
"delafloxacin","Watch group antibiotics","Parenteral > General injections > IV: 300 mg lyophilized powder for injection
Oral > Solid: 450 mg","Methicillin resistant Staphylococcus aureus","","Removed","J01MA23"
"delamanid","Antituberculosis medicines","Oral > Solid: 50 mg tablet; 25 mg tablet (dispersible)","Multi-drug resistant Mycobacterium tuberculosis","","Added","J04AK06"
"dengue vaccine","Recommendations for some high-risk populations","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against certain single viral diseases","","Added","J07BX04"
"desmopressin","Medicines affecting coagulation","Parenteral > General injections > IV: 4 µg per  mL in 1 mL ampoule (acetate)
Local > Nasal > Spray: 10 µg per  dose (acetate)","Haemophilia A","","Added","H01BA02"
"desmopressin","Medicines affecting coagulation","Parenteral > General injections > IV: 4 µg per  mL in 1 mL ampoule (acetate)
Local > Nasal > Spray: 10 µg per  dose (acetate)","Von Willebrand disease","","Added","H01BA02"
"dexamethasone","Other medicines administered to the mother","Parenteral > General injections > unspecified: 4 mg per  mL (dexamethasone phosphate (as sodium))","Respiratory distress syndrome of the newborn, altered by maternal corticosteroid therapy","","Added","H02AB02"
"dexamethasone","Hormones and antihormones","Oral > Solid: 4 mg
Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosophate salt)
Oral > Liquid: 2 mg per 5 mL
Oral > Solid: 2 mg; 4 mg","Plasma cell myeloma","","Added","L01AA01"
"dexamethasone","Hormones and antihormones","Oral > Solid: 4 mg
Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosophate salt)
Oral > Liquid: 2 mg per 5 mL
Oral > Solid: 2 mg; 4 mg","Lymphoid leukaemia, not elsewhere classified","","Added","H02AB02"
"dexamethasone","Hormones and antihormones","Oral > Solid: 4 mg
Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosophate salt)
Oral > Liquid: 2 mg per 5 mL
Oral > Solid: 2 mg; 4 mg","Burkitt lymphoma including Burkitt leukaemia","","Added","H02AB02"
"dexamethasone","Hormones and antihormones","Oral > Solid: 4 mg
Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosophate salt)
Oral > Liquid: 2 mg per 5 mL
Oral > Solid: 2 mg; 4 mg","Anaplastic large cell lymphoma, ALK-negative","","Added","H02AB02"
"dexamethasone","Hormones and antihormones","Oral > Solid: 4 mg
Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosophate salt)
Oral > Liquid: 2 mg per 5 mL
Oral > Solid: 2 mg; 4 mg","Anaplastic large cell lymphoma, ALK-positive","","Added","H02AB02"
"dexamethasone","Antiallergics and medicines used in anaphylaxis","Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosphate salt)","Allergic or hypersensitivity conditions of unspecified type","","Added","H02AB02"
"dexamethasone","Medicines for other common symptoms in palliative care","Oral > Liquid: 2 mg per 5 mL
Oral > Solid: 2 mg; 4 mg
Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosphate salt)","Palliative care","","Added","C05AA09"
"dexamethasone","Antiemetic medicines","Oral > Liquid: 0.5 mg per 5 mL; 2 mg per 5 mL
Oral > Solid: 0.5 mg; 0.75 mg; 1.5 mg; 4 mg
Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosphate salt)","Nausea or vomiting","","Added","H02AB02"
"dextran 40","Plasma substitutes",".","Hypovolaemia","","Removed","B05AA05"
"dextran 70","Plasma substitutes","Parenteral > General injections > IV: 6% injectable solution","Hypovolaemia","","Added","B05AA05"
"diaphragms","Barrier methods","-","Contact with health services for contraceptive management","","Added","nan"
"diazepam","Antiseizure medicines","
Local > Rectal > Gel: 5 mg per  mL in 0.5 mL rectal delivery system; 5 mg per  mL in 2 mL rectal delivery system; 5 mg per  mL in 4 mL rectal delivery system
Local > Rectal > Solution: 2 mg per  mL in 1.25 mL rectal tube; 2 mg per  mL in 2.5 mL rectal tube; 4 mg per  mL in 2.5 mL rectal tube","Status epilepticus","","Added","nan"
"diazepam","Antiseizure medicines","
Local > Rectal > Gel: 5 mg per  mL in 0.5 mL rectal delivery system; 5 mg per  mL in 2 mL rectal delivery system; 5 mg per  mL in 4 mL rectal delivery system
Local > Rectal > Solution: 2 mg per  mL in 1.25 mL rectal tube; 2 mg per  mL in 2.5 mL rectal tube; 4 mg per  mL in 2.5 mL rectal tube","Status epilepticus","","Added","N05BA01"
"diazepam","Medicines for other common symptoms in palliative care","Oral > Liquid: 2 mg per 5 mL
Oral > Solid: 5 mg; 10 mg
Local > Rectal > Gel: 5 mg per  mL in 0.5 mL rectal delivery system; 5 mg per  mL in 2 mL rectal delivery system; 5 mg per  mL in 4 mL rectal delivery system
Local > Rectal > Solution: 2 mg per  mL in 1.25 mL rectal tube; 2 mg per  mL in 2.5 mL rectal tube; 4 mg per  mL in 2.5 mL rectal tube
Parenteral > General injections > unspecified: 5 mg per  mL","Palliative care","","Added","N05BA01"
"diazoxide","Medicines for hypoglycaemia","Oral > Liquid: 50 mg per  mL
Oral > Solid: 50 mg","Persistent hyperinsulinaemic hypoglycaemia of infancy","","Added","V03AH01"
"didanosine","Antiretrovirals > Nucleoside/Nucleotide reverse transcriptase inhibitors","Oral > Liquid: 100 mg buffered powder for oral solution; 167 mg buffered powder for oral solution; 250 mg buffered powder for oral solution
Oral > Solid: 25 mg buffered chewable dispersible tablet; 50 mg buffered chewable dispersible tablet; 100 mg buffered chewable dispersible tablet; 150 mg buffered chewable dispersible tablet; 200 mg buffered chewable dispersible tablet; 125 mg unbuffered enteric coated capsule; 200 mg unbuffered enteric coated capsule; 250 mg unbuffered enteric coated capsule; 400 mg unbuffered enteric coated capsule","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Removed","J05AF02"
"diethylcarbamazine","Antifilarials","Oral > Solid: 50 mg tablet (dihydrogen citrate); 100 mg tablet (dihydrogen citrate)","Lymphatic filariasis","","Added","P02CB02"
"digitoxin","Medicines used in heart failure","Parenteral > General injections > IV: 0.2 mg in 1 mL ampoule
Oral > Solid: 50 µg; 100 µg","Heart failure","","Removed","C01AA04"
"digoxin","Antiarrhythmic medicines","Parenteral > General injections > IV: 250 µg per  mL in 2 mL ampoule
Oral > Liquid: 50 µg per  mL
Oral > Solid: 62.5 µg; 250 µg","Cardiac arrhythmia","","Added","C01AA05"
"digoxin","Medicines used in heart failure","Parenteral > General injections > IV: 250 µg per  mL in 2 mL ampoule; 100 µg per  mL in 1 mL ampoule
Oral > Liquid: 50 µg per  mL
Oral > Solid > tablet: 62.5 µg; 250 µg; 125 µg","Heart failure","","Added","C01AA05"
"dihydroartemisinin + piperaquine phosphate","Antimalarial medicines > For curative treatment","Oral > Solid: 40 mg + 320 mg tablet; 20 mg + 160 mg tablet","Malaria due to Plasmodium falciparum","","Added","P01BF05"
"dihydroartemisinin + piperaquine phosphate","Antimalarial medicines > For curative treatment","Oral > Solid: 40 mg + 320 mg tablet; 20 mg + 160 mg tablet","Malaria due to Plasmodium vivax","","Added","P01BF05"
"dihydroergocryptine mesylate","Antiseizure medicines","Oral > Solid: ","Parkinson disease","","Removed","N04BC03"
"diloxanide","Antiamoebic and antigiardiasis medicines","Oral > Solid: 500 mg (furoate)","Amoebiasis","","Added","P01AC01"
"dimercaprol","Antidotes and other substances used in poisonings > Specific","Parenteral > General injections > IM: 50 mg per  mL in 2 mL ampoule","Harmful effects of or exposure to noxious substances, chiefly nonmedicinal as to source, not elsewhere classified","","Added","V03AB09"
"diphtheria antitoxin","Immunologicals > Sera, immunoglobulins and monoclonal antibodies","Parenteral > General injections > IM: 10000 IU in vial; 20000 IU in vial","Need for immunization against diphtheria alone","","Added","J06AA01"
"diphtheria vaccine","Recommendations for all immunization programmes","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against diphtheria alone","","Added","J07AF01"
"diphtheria-pertussis-tetanus vaccine","Recommendations for all immunization programmes","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against diphtheria-tetanus-pertussis, combined","","Removed","J07AJ52"
"diphtheria-tetanus vaccine","Recommendations for all immunization programmes","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against combinations of infectious diseases","","Removed","J07AM51"
"docetaxel","Cytotoxic medicines","Parenteral > General injections > IV: 20 mg per  mL; 40 mg per  mL","Other specified malignant neoplasms of breast","","Added","L01CD02"
"docetaxel","Cytotoxic medicines","Parenteral > General injections > IV: 20 mg per  mL; 40 mg per  mL","Malignant neoplasms of breast","","Added","L01CD02"
"docetaxel","Cytotoxic medicines","Parenteral > General injections > IV: 20 mg per  mL; 40 mg per  mL","Malignant neoplasms of prostate","","Added","L01CD02"
"docetaxel","Cytotoxic medicines","Parenteral > General injections > IV: 20 mg per  mL; 40 mg per  mL","Unspecified malignant neoplasms of ill-defined or unspecified sites","","Removed","L01CD02"
"docusate sodium","Medicines for other common symptoms in palliative care","Oral > Liquid: 50 mg per 5 mL oral liquid
Oral > Solid: 100 mg capsule","Palliative care","","Added","A06AA02"
"dolasetron","Medicines for other common symptoms in palliative care","","Palliative care","","Added","nan"
"dolasetron","Antiemetic medicines","","Nausea or vomiting","","Added","nan"
"dolutegravir","Antiretrovirals > Integrase inhibitors","Oral > Solid: 50 mg tablet; 10 mg tablet (dispersible, scored)","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","J05AJ03"
"dolutegravir + lamivudine + tenofovir","Fixed-dose combinations of antiretrovirals","Oral > Solid: 50 mg + 300 mg + 300 mg (tenofovir disoproxil fumarate equivalent to 245 mg tenofovir disoproxil)","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","J05AR27"
"donepezil","Medicines for diseases of the nervous system","Oral > Liquid: 1 mg per  mL (hydrochloride)
Oral > Solid > tablet: 5 mg (hydrochloride); 10 mg (hydrochloride); 5 mg (hydrochloride) (orodispersible); 10 mg (hydrochloride) (orodispersible)","Dementia due to Alzheimer disease","","Removed","N06DA02"
"dopamine","Medicines used in heart failure","Parenteral > General injections > IV: 40 mg per  mL in 5 mL vial (hydrochloride)","Heart failure","","Added","C01CA04"
"dopamine","Medicines used in heart failure","Parenteral > General injections > IV: 40 mg per  mL in 5 mL vial (hydrochloride)","Cardiogenic shock","","Added","C01CA04"
"doxorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)","Unspecified malignant neoplasms of ill-defined or unspecified sites","","Removed","L01DB01"
"doxorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)","Rhabdomyosarcoma primary site","","Removed","L01DB01"
"doxorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)","Follicular lymphoma","","Added","L01DB01"
