"medicine_name","eml_section","formulations","indication","combined_with","status","atc_classification","source"
"capecitabine","Cytotoxic medicines","Oral > Solid: 150 mg tablet; 500 mg tablet","Malignant neoplasm metastasis in large intestine","","Added","L01BC06","who.int"
"capecitabine","Cytotoxic medicines","Oral > Solid: 150 mg tablet; 500 mg tablet","Malignant neoplasms of rectum","","Added","L01BC06","who.int"
"capreomycin","Antituberculosis medicines","Parenteral > General injections > IV: 1000 mg powder for injection (vial)","Multi-drug resistant Mycobacterium tuberculosis","","Removed","J04AB30","who.int"
"captopril","Medicines used in heart failure","Oral > Solid: 25 mg","Heart failure","","Removed","C09AA01","who.int"
"carbachol","Ophthalmological preparations > Miotics and antiglaucoma medicines","","Acute angle closure with pupillary block","","Added","nan","who.int"
"carbachol","Ophthalmological preparations > Miotics and antiglaucoma medicines","","Ocular hypertension","","Added","nan","who.int"
"carbachol","Ophthalmological preparations > Miotics and antiglaucoma medicines","","Primary open-angle glaucoma","","Added","nan","who.int"
"carbamazepine","Antiseizure medicines","Oral > Liquid: 100 mg per 5 mL
Oral > Solid > tablet: 200 mg (scored); 100 mg (scored); 100 mg (chewable); 200 mg (chewable); 400 mg (scored)","Epilepsy or seizures","","Added","N03AF01","who.int"
"carbamazepine","Medicines for bipolar disorders","Oral > Solid > tablet: 100 mg (scored); 200 mg (scored); 400 mg","Bipolar or related disorders","","Added","N03AF01","who.int"
"carbetocin","Uterotonics","Parenteral > General injections > IV: 100 µg per  mL (heat stable)","Postpartum haemorrhage","","Added","H01BB03","who.int"
"carbimazole","Thyroid hormones and antithyroid medicines","","Thyrotoxicosis","","Added","nan","who.int"
"carboplatin","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg per 5 mL; 150 mg per 15 mL; 450 mg per 45 mL; 600 mg per 60 mL","Other specified gliomas of brain","","Added","L01XA02","who.int"
"carboplatin","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg per 5 mL; 150 mg per 15 mL; 450 mg per 45 mL; 600 mg per 60 mL","Other specified carcinomas of ovary","","Added","L01XA02","who.int"
"carboplatin","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg per 5 mL; 150 mg per 15 mL; 450 mg per 45 mL; 600 mg per 60 mL","Retinoblastoma","","Added","L01XA02","who.int"
"carboplatin","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg per 5 mL; 150 mg per 15 mL; 450 mg per 45 mL; 600 mg per 60 mL","Other specified malignant neoplasms of bronchus or lung","","Added","L01XA02","who.int"
"carboplatin","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg per 5 mL; 150 mg per 15 mL; 450 mg per 45 mL; 600 mg per 60 mL","Malignant neoplasms of nasopharynx","","Added","L01XA02","who.int"
"carboplatin","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg per 5 mL; 150 mg per 15 mL; 450 mg per 45 mL; 600 mg per 60 mL","Malignant neoplasms of kidney, except renal pelvis","","Added","L01XA02","who.int"
"carboplatin","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg per 5 mL; 150 mg per 15 mL; 450 mg per 45 mL; 600 mg per 60 mL","Malignant neoplasms of breast","","Added","L01XA02","who.int"
"carboplatin","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg per 5 mL; 150 mg per 15 mL; 450 mg per 45 mL; 600 mg per 60 mL","Osteosarcoma of bone and articular cartilage of unspecified sites","","Added","L01XA02","who.int"
"carboplatin","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg per 5 mL; 150 mg per 15 mL; 450 mg per 45 mL; 600 mg per 60 mL","Malignant neoplasms of lip, oral cavity or pharynx","","Added","L01XA02","who.int"
"carboplatin","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg per 5 mL; 150 mg per 15 mL; 450 mg per 45 mL; 600 mg per 60 mL","Malignant neoplasms of cervix uteri","","Added","L01XA02","who.int"
"carboplatin","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg per 5 mL; 150 mg per 15 mL; 450 mg per 45 mL; 600 mg per 60 mL","Other specified malignant neoplasms of the ovary","","Added","L01XA02","who.int"
"carboplatin","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg per 5 mL; 150 mg per 15 mL; 450 mg per 45 mL; 600 mg per 60 mL","Germ cell tumour of testis","","Added","L01XA02","who.int"
"carvedilol","Antianginal medicines","","Angina pectoris","","Added","nan","who.int"
"carvedilol","Medicines used in heart failure","","Heart failure","","Added","nan","who.int"
"carvedilol","Antihypertensive medicines","","Essential hypertension","","Added","nan","who.int"
"carvedilol","Antiarrhythmic medicines","","Cardiac arrhythmia","","Added","nan","who.int"
"caspofungin","Antifungal medicines","","Systemic or invasive candidosis","","Added","nan","who.int"
"cefalexin","Access group antibiotics","Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid
Oral > Solid: 250 mg (as monohydrate)
Oral > Solid: 250 mg (as monohydrate); 500 mg (as monohydrate)","Chronic obstructive pulmonary disease with acute exacerbation","","Added","J01DB01","who.int"
"cefalexin","Access group antibiotics","Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid
Oral > Solid: 250 mg (as monohydrate)
Oral > Solid: 250 mg (as monohydrate); 500 mg (as monohydrate)","Bacterial infection of unspecified site","","Removed","J01DB01","who.int"
"cefazolin","Access group antibiotics","Parenteral > General injections > unspecified: 1 g in vial (as sodium salt) powder for injection","Other specified prophylactic measures","metronidazole","Added","J01DB04","who.int"
"cefazolin","Access group antibiotics","Parenteral > General injections > unspecified: 1 g in vial (as sodium salt) powder for injection","Other specified prophylactic measures","","Added","J01DB04","who.int"
"cefazolin","Access group antibiotics","Parenteral > General injections > unspecified: 1 g in vial (as sodium salt) powder for injection","Bacterial infection of joint","","Added","J01DB04","who.int"
"cefazolin","Access group antibiotics","Parenteral > General injections > unspecified: 1 g in vial (as sodium salt) powder for injection","Osteomyelitis or osteitis","","Added","J01DB04","who.int"
"cefazolin","Access group antibiotics","Parenteral > General injections > unspecified: 1 g in vial (as sodium salt) powder for injection","Surgical site infection","","Removed","J01DB04","who.int"
"cefepime","Watch group antibiotics","Parenteral > General injections > unspecified: 500 mg in vial (as hydrochloride) powder for injection; 1 g in vial (as hydrochloride) powder for injection; 2 g in vial (as hydrochloride) powder for injection","Other specified bacterial diseases","","Removed","J01DE01","who.int"
"cefixime","Watch group antibiotics","Oral > Liquid: 100 mg per 5 mL powder for oral liquid
Oral > Solid: 200 mg (as trihydrate); 400 mg (as trihydrate)","Infectious gastroenteritis or colitis without specification of infectious agent","","Added","J01DD08","who.int"
"cefixime","Watch group antibiotics","Oral > Liquid: 100 mg per 5 mL powder for oral liquid
Oral > Solid: 200 mg (as trihydrate); 400 mg (as trihydrate)","Gonococcal infection","azithromycin","Added","J01DD08","who.int"
"cefotaxime","Watch group antibiotics","Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt)","Bacterial infection of unspecified site","","Removed","J01DD01","who.int"
"ceftaroline","Reserve group antibiotics","Parenteral > General injections > IV: 400 mg in vial (as fosamil) powder for injection; 600 mg in vial (as fosamil) powder for injection","Other specified bacterial diseases","","Removed","J01DI02","who.int"
"ceftazidime","Watch group antibiotics","Parenteral > General injections > unspecified: 250 mg in vial (as pentahydrate) powder for injection; 1 g in vial (as pentahydrate) powder for injection","Endophthalmitis","vancomycin","Added","J01DD02","who.int"
"ceftazidime","Watch group antibiotics","Parenteral > General injections > unspecified: 250 mg in vial (as pentahydrate) powder for injection; 1 g in vial (as pentahydrate) powder for injection","Pseudomonas aeruginosa resistant to other antibiotic","","Added","J01DD02","who.int"
"ceftazidime + avibactam","Reserve group antibiotics","Parenteral > General injections > IV: 2 g in vial + 0.5 g in vial powder for injection","Carbapenem-resistant Pseudomonas aeruginosa","","Added","J01DD52","who.int"
"ceftazidime + avibactam","Reserve group antibiotics","Parenteral > General injections > IV: 2 g in vial + 0.5 g in vial powder for injection","Carbapenem resistant Enterobacterales","","Added","J01DD52","who.int"
"ceftolozane + tazobactam","Reserve group antibiotics","Parenteral > General injections > IV: 1 g + 0.5 g powder for injection","Carbapenem-resistant Pseudomonas aeruginosa","","Added","J01DI54","who.int"
"ceftriaxone","Watch group antibiotics","Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)","Necrotising fasciitis","metronidazole","Added","J01DD04","who.int"
"ceftriaxone","Watch group antibiotics","Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)","Bacterial infection of unspecified site","","Removed","J01DD04","who.int"
"cefuroxime","Watch group antibiotics","Parenteral > General injections > IV: 250 mg in vial (as sodium salt) powder for injection; 750 mg in vial (as sodium salt) powder for injection; 1.5 g in vial (as sodium salt) powder for injection","Other specified prophylactic measures","","Added","J01DC02","who.int"
"certolizumab pegol","Immunomodulators for non-malignant disease","","Axial spondyloarthritis","","Added","nan","who.int"
"certolizumab pegol","Immunomodulators for non-malignant disease","","Crohn disease site","","Added","nan","who.int"
"certolizumab pegol","Immunomodulators for non-malignant disease","","Rheumatoid arthritis","","Added","nan","who.int"
"certolizumab pegol","Medicines for juvenile joint diseases","","Juvenile idiopathic arthritis","","Added","nan","who.int"
"cetirizine","Antiallergics and medicines used in anaphylaxis","","Allergic or hypersensitivity conditions of unspecified type","","Added","nan","who.int"
"chlorambucil","Cytotoxic medicines","Oral > Solid: 2 mg tablet","Unspecified malignant neoplasms of ill-defined or unspecified sites","","Removed","L01AA02","who.int"
"chlorambucil","Cytotoxic medicines","Oral > Solid: 2 mg tablet","Chronic lymphocytic leukaemia or small lymphocytic lymphoma","","Added","L01AA02","who.int"
"chloramphenicol","Access group antibiotics","Parenteral > General injections > IV: 1 g in vial powder for injection (sodium succinate)
Parenteral > General injections > IM: 500 mg in 2 mL ampoule oily suspension for injection
Oral > Liquid: 150 mg per 5 mL (as palmitate)
Oral > Solid: 250 mg capsule","Bacterial infection of unspecified site","","Removed","J01BA01","who.int"
"chlorhexidine","Medicines administered to the neonate [c]","Local > Topical > Solution: 7.1% chlorhexidine digluconate (delivering 4% chlorhexidine)
Local > Topical > Gel: 7.1% chlorhexidine digluconate (delivering 4% chlorhexidine)","Omphalitis of newborn","","Added","D08AC02","who.int"
"chlorhexidine","Antiseptics","Local > Topical > Solution: 5% (digluconate) for dilution","Chlorhexidine","","Added","D08AC02","who.int"
"chlorine base compound","Disinfectants","Local > Topical > Powder: 0.1% available chlorine for solution
Local > Topical > Liquid: 0.1% available chlorine for solution
Local > Topical > Solid: 0.1% available chlorine for solution","Disinfectant, not elsewhere classified","","Added","nan","who.int"
"chloroquine","Antimalarial medicines > For chemoprevention","Oral > Liquid: 50 mg per 5 mL syrup (as phosphate or sulfate)
Oral > Solid: 150 mg tablet (as phosphate or sulfate)","Malaria due to Plasmodium falciparum","","Removed","P01BA01","who.int"
"chloroquine","Antimalarial medicines > For chemoprevention","Oral > Liquid: 50 mg per 5 mL syrup (as phosphate or sulfate)
Oral > Solid: 150 mg tablet (as phosphate or sulfate)","Malaria due to Plasmodium vivax","","Added","P01BA01","who.int"
"chloroquine","Antimalarial medicines > For chemoprevention","Oral > Liquid: 50 mg per 5 mL syrup (as phosphate or sulfate)
Oral > Solid: 150 mg tablet (as phosphate or sulfate)","Malaria due to Plasmodium ovale","","Added","P01BA01","who.int"
"chloroquine","Antimalarial medicines > For chemoprevention","Oral > Liquid: 50 mg per 5 mL syrup (as phosphate or sulfate)
Oral > Solid: 150 mg tablet (as phosphate or sulfate)","Malaria due to Plasmodium malariae","","Added","P01BA01","who.int"
"chloroquine","Antimalarial medicines > For curative treatment","Parenteral > General injections > IV: 40 mg per  mL in 5 mL ampoule (as hydrochloride, phosphate or sulfate)
Oral > Liquid: 50 mg per 5 mL syrup (as phosphate or sulfate)
Oral > Solid: 150 mg tablet (as phosphate or sulfate); 100 mg tablet (as phosphate or sulfate)","Malaria due to Plasmodium falciparum","","Removed","P01BA01","who.int"
"chloroquine","Antimalarial medicines > For curative treatment","Parenteral > General injections > IV: 40 mg per  mL in 5 mL ampoule (as hydrochloride, phosphate or sulfate)
Oral > Liquid: 50 mg per 5 mL syrup (as phosphate or sulfate)
Oral > Solid: 150 mg tablet (as phosphate or sulfate); 100 mg tablet (as phosphate or sulfate)","Malaria due to Plasmodium vivax","","Added","P01BA01","who.int"
"chloroquine","Disease-modifying anti-rheumatic drugs (DMARDs)","Oral > Solid: 100 mg tablet (as phosphate or sulfate); 150 mg tablet (as phosphate or sulfate)","Rheumatoid arthritis","","Added","P01BA01","who.int"
"chlorothiazide","Antihypertensive medicines","","Essential hypertension","","Added","nan","who.int"
"chlorothiazide","Medicines used in heart failure","","Heart failure","","Added","nan","who.int"
"chloroxylenol","Disinfectants","Local > Topical > Solution: 4.8%","Phenol disinfectant, not elsewhere classified","","Added","D08AE05","who.int"
"chlortalidone","Antihypertensive medicines","","Essential hypertension","","Added","nan","who.int"
"chlortalidone","Medicines used in heart failure","","Heart failure","","Added","nan","who.int"
"chlortetracycline","Ophthalmological preparations > Anti-infective agents","","Other specified conjunctivitis","","Added","nan","who.int"
"chlortetracycline","Ophthalmological preparations > Anti-infective agents","","Infectious keratitis","","Added","nan","who.int"
"chlortetracycline","Ophthalmological preparations > Anti-infective agents","","Infectious blepharitis","","Added","nan","who.int"
"chlortetracycline","Ophthalmological preparations > Anti-infective agents","","Trachoma","","Added","nan","who.int"
"cholera vaccine","Recommendations for some high-risk populations","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against cholera alone","","Added","J07AE01","who.int"
"ciclesonide","Antiasthmatic and medicines for chronic obstructive pulmonary disease","","Asthma","","Added","nan","who.int"
"ciclosporin","Immunomodulators for non-malignant disease","Parenteral > General injections > IV: 50 mg per  mL in 1 mL ampoule concentrate for injection
Oral > Liquid: 100 mg per  mL
Oral > Solid > capsule: 25 mg","Failure or rejection of transplanted organs or tissues","","Added","L04AD01","who.int"
"cimetidine","Antiulcer medicines","Oral > Solid: 200 mg
Parenteral > General injections > unspecified: 200 mg in 2 mL ampoule","Peptic ulcer, site unspecified","","Removed","A02BA01","who.int"
"cimetidine","Antiulcer medicines","Oral > Solid: 200 mg
Parenteral > General injections > unspecified: 200 mg in 2 mL ampoule","Gastro-oesophageal reflux disease","","Removed","A02BA01","who.int"
"ciprofloxacin","Watch group antibiotics","Parenteral > General injections > IV: 2 mg per  mL (as hyclate)
Oral > Liquid: 250 mg per 5 mL (anhydrous)
Oral > Solid: 250 mg (as hydrochloride)
Oral > Solid: 250 mg (as hydrochloride); 500 mg (as hydrochloride)","Inflammatory and other diseases of prostate (mild to moderate)","","Added","J01MA02","who.int"
"ciprofloxacin","Watch group antibiotics","Parenteral > General injections > IV: 2 mg per  mL (as hyclate)
Oral > Liquid: 250 mg per 5 mL (anhydrous)
Oral > Solid: 250 mg (as hydrochloride)
Oral > Solid: 250 mg (as hydrochloride); 500 mg (as hydrochloride)","Bacterial infection of unspecified site","","Removed","J01MA02","who.int"
"ciprofloxacin","Ear, nose and throat medicines [c]","Local > Otological > drops: 0.3% (as hydrochloride)","Infectious diseases of external ear","","Added","S02AA15","who.int"
"cisplatin","Cytotoxic medicines","Parenteral > General injections > unspecified: 10 mg in vial powder for injection; 50 mg in vial powder for injection
Parenteral > General injections > IV: 50 mg per 50 mL; 100 mg per 100 mL; 10 mg per 10 mL; 20 mg per 20 mL","Unspecified malignant neoplasms of ill-defined or unspecified sites","","Removed","L01XA01","who.int"
"cisplatin","Cytotoxic medicines","Parenteral > General injections > unspecified: 10 mg in vial powder for injection; 50 mg in vial powder for injection
Parenteral > General injections > IV: 50 mg per 50 mL; 100 mg per 100 mL; 10 mg per 10 mL; 20 mg per 20 mL","Other specified gliomas of brain","","Added","L01XA01","who.int"
"cisplatin","Cytotoxic medicines","Parenteral > General injections > unspecified: 10 mg in vial powder for injection; 50 mg in vial powder for injection
Parenteral > General injections > IV: 50 mg per 50 mL; 100 mg per 100 mL; 10 mg per 10 mL; 20 mg per 20 mL","Other specified malignant neoplasms of the ovary","","Added","L01XA01","who.int"
"cisplatin","Cytotoxic medicines","Parenteral > General injections > unspecified: 10 mg in vial powder for injection; 50 mg in vial powder for injection
Parenteral > General injections > IV: 50 mg per 50 mL; 100 mg per 100 mL; 10 mg per 10 mL; 20 mg per 20 mL","Other specified malignant neoplasms of bronchus or lung","","Added","L01XA01","who.int"
"cisplatin","Cytotoxic medicines","Parenteral > General injections > unspecified: 10 mg in vial powder for injection; 50 mg in vial powder for injection
Parenteral > General injections > IV: 50 mg per 50 mL; 100 mg per 100 mL; 10 mg per 10 mL; 20 mg per 20 mL","Malignant neoplasms of nasopharynx","","Added","L01XA01","who.int"
"cisplatin","Cytotoxic medicines","Parenteral > General injections > unspecified: 10 mg in vial powder for injection; 50 mg in vial powder for injection
Parenteral > General injections > IV: 50 mg per 50 mL; 100 mg per 100 mL; 10 mg per 10 mL; 20 mg per 20 mL","Germ cell tumour of testis","","Added","L01XA01","who.int"
"cisplatin","Cytotoxic medicines","Parenteral > General injections > unspecified: 10 mg in vial powder for injection; 50 mg in vial powder for injection
Parenteral > General injections > IV: 50 mg per 50 mL; 100 mg per 100 mL; 10 mg per 10 mL; 20 mg per 20 mL","Osteosarcoma of bone and articular cartilage of unspecified sites","","Added","L01XA01","who.int"
"cisplatin","Cytotoxic medicines","Parenteral > General injections > unspecified: 10 mg in vial powder for injection; 50 mg in vial powder for injection
Parenteral > General injections > IV: 50 mg per 50 mL; 100 mg per 100 mL; 10 mg per 10 mL; 20 mg per 20 mL","Malignant neoplasms of lip, oral cavity or pharynx","","Added","L01XA01","who.int"
"cisplatin","Cytotoxic medicines","Parenteral > General injections > unspecified: 10 mg in vial powder for injection; 50 mg in vial powder for injection
Parenteral > General injections > IV: 50 mg per 50 mL; 100 mg per 100 mL; 10 mg per 10 mL; 20 mg per 20 mL","Malignant neoplasms of cervix uteri","","Added","L01XA01","who.int"
"cladribine","Medicines for multiple sclerosis","Oral > Solid > tablet: 10 mg","Multiple sclerosis","","Added","L04AA40","who.int"
"cladribine","Cytotoxic medicines","Parenteral > General injections > IV: 1 mg per  mL in 10 mL vial; 2 mg per  mL in 5 mL vial","Langerhans cell histiocytosis","","Removed","L01BB04","who.int"
"clindamycin","Access group antibiotics","Oral > Liquid: 75 mg per 5 mL (as palmitate hydrochloride)
Oral > Solid: 150 mg (as hydrochloride) capsule
Parenteral > General injections > unspecified: 150 mg per  mL (as phosphate) injection","Bacterial infection of unspecified site","","Removed","J01FF01","who.int"
"clofazimine","Antituberculosis medicines","Oral > Solid: 100 mg; 50 mg","Multi-drug resistant Mycobacterium tuberculosis","","Added","J04BA01","who.int"
"clofazimine","Antileprosy medicines","Oral > Solid: 100 mg; 50 mg","Leprosy","","Added","J04BA01","who.int"
"clomifene","Ovulation inducers","Oral > Solid: 50 mg (citrate)","Female infertility without specification whether primary or secondary","","Added","G03GB02","who.int"
"clomipramine","Medicines for obsessive compulsive disorders","Oral > Solid: 10 mg (hydrochloride); 25 mg (hydrochloride)","Obsessive-compulsive disorder","","Added","N06AA04","who.int"
"clonazepam","Antiseizure medicines","Oral > Solid: 500 µg","Generalised myoclonic seizure","","Removed","N03AE01","who.int"
"clopidogrel","Anti-platelet medicines","Oral > Solid: 75 mg; 300 mg","Acute ischaemic heart disease","","Added","B01AC04","who.int"
"clopidogrel","Anti-platelet medicines","Oral > Solid: 75 mg; 300 mg","Presence of coronary angioplasty implant or graft","","Added","B01AC04","who.int"
"clotrimazole","Antifungal medicines","Local > Topical > Other: 1% vaginal cream; 10% vaginal cream; 100 mg vaginal tablet; 500 mg vaginal tablet","Vulvovaginal candidosis","","Added","G01AF02","who.int"
"cloxacillin","Access group antibiotics","Oral > Liquid: 125 mg per 5 mL (as sodium salt) powder for oral liquid
Oral > Solid: 500 mg (as sodium salt) capsule; 1 g (as sodium salt) capsule
Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection","Bacterial infection of unspecified site","","Removed","J01CF02","who.int"
"clozapine","Medicines for psychotic disorders","Oral > Solid: 25 mg; 50 mg; 100 mg; 200 mg","Schizophrenia or other primary psychotic disorders","","Added","N05AH02","who.int"
"coal tar","Dermatological medicines > Medicines affecting skin differentiation and proliferation","Local > Topical > Solution: 5%","Psoriasis of unspecified type","","Added","D05AA","who.int"
"cobicistat + elvitegravir + emtricitabine + tenofovir disoproxil fumarate","Fixed-dose combinations of antiretrovirals","Oral > Solid: 150 mg + 150 mg + 200 mg + 300 mg (tenofovir disoproxil fumarate equivalent to 245 mg tenofovir disoproxil)","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Removed","J05AR09","who.int"
"cobicistat + elvitegravir + emtricitabine+ tenofovir alafenamide","Fixed-dose combinations of antiretrovirals","Oral > Solid: 150 mg + 150 mg + 200 mg + 10 mg","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Removed","J05AR18","who.int"
"cobimetinib","Targeted therapies","","Other specified melanoma of skin","","Removed","nan","who.int"
"codeine","Opioid analgesics","Oral > Solid: 30 mg tablet (codeine phosphate)","Pain","","Added","nan","who.int"
"codeine","Antitussives","Oral > Solid: 10 mg tablet (codeine phosphate)","Cough","","Removed","R05DA04","who.int"
"codeine","Medicines for diarrhoea","Oral > Solid: 30 mg tablet (codeine phosphate)","Diarrhoea","","Removed","nan","who.int"
"colchicine","Medicines used to treat gout","Oral > Solid: 0.5 mg","Gout","","Removed","M04AC01","who.int"
"colecalciferol","Vitamins and minerals","Oral > Liquid: 400 IU per  mL
Oral > Solid: 400 IU; 1000 IU
","Calcium deficiency","","Added","A11CC05","who.int"
"colecalciferol","Vitamins and minerals","Oral > Liquid: 400 IU per  mL
Oral > Solid: 400 IU; 1000 IU
","Vitamin D deficiency","","Added","A11CC05","who.int"
"colecalciferol","Vitamins and minerals","Oral > Liquid: 400 IU per  mL
Oral > Solid: 400 IU; 1000 IU
","Vitamin D deficiency","","Added","nan","who.int"
"colecalciferol","Vitamins and minerals","Oral > Liquid: 400 IU per  mL
Oral > Solid: 400 IU; 1000 IU
","Calcium deficiency","","Added","nan","who.int"
"colistin (injection)","Reserve group antibiotics","Parenteral > General injections > unspecified: 1 million IU in vial (as colistemethate sodium)","Other specified bacterial diseases","","Removed","J01XB01","who.int"
"compound sodium lactate solution","Solutions correcting water, electrolyte and acid-base disturbances > Parenteral","Parenteral > General injections > IV: injectable solution","Other specified disorders of fluid, electrolyte or acid-base balance","","Added","nan","who.int"
"compound sodium lactate solution","Solutions correcting water, electrolyte and acid-base disturbances > Parenteral","Parenteral > General injections > IV: injectable solution","Hypovolaemic shock","","Added","nan","who.int"
"condoms","Barrier methods","-","Contact with health services for contraceptive management","","Added","nan","who.int"
"copper-containing intrauterine device","Intrauterine devices","-","Contact with health services for insertion of contraceptive device","","Added","G02BA02","who.int"
"crizotinib","Targeted therapies","Oral > Solid: 200 mg; 250 mg
Oral > Solid > capsule: 200 mg; 250 mg","Other specified malignant neoplasms of bronchus or lung","","Removed","L01ED01","who.int"
"crizotinib","Targeted therapies","Oral > Solid: 200 mg; 250 mg
Oral > Solid > capsule: 200 mg; 250 mg","Anaplastic large cell lymphoma, ALK-positive","","Removed","L01ED01","who.int"
"cyanocobalamin","Antianaemia medicines",".","Anaemias or other erythrocyte disorders","","Removed","B03BA01","who.int"
"cyclizine","Medicines for other common symptoms in palliative care","Oral > Solid: 50 mg tablet
Parenteral > General injections > unspecified: 50 mg per  mL","Palliative care","","Added","R06AE03","who.int"
"cyclopentolate","Diagnostic agents > Ophthalmic medicines","","Cycloplegic drug","","Added","nan","who.int"
"cyclopentolate","Ophthalmological preparations > Mydriatics","","Anterior uveitis","","Added","nan","who.int"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Unspecified malignant neoplasms of ill-defined or unspecified sites","","Removed","L01AA01","who.int"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Burkitt lymphoma including Burkitt leukaemia","","Added","L01AA01","who.int"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Malignant neoplasms of breast","","Added","L01AA01","who.int"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Ewing sarcoma of bone and articular cartilage of unspecified sites","","Added","L01AA01","who.int"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Lymphoid leukaemia, not elsewhere classified","","Added","L01AA01","who.int"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Chronic lymphocytic leukaemia or small lymphocytic lymphoma","","Added","L01AA01","who.int"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Diffuse large B-cell lymphomas","","Added","L01AA01","who.int"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Plasma cell myeloma","","Added","L01AA01","who.int"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Other specified gliomas of brain","","Added","L01AA01","who.int"
