atc_classification,activeingredient,activeingredient_cy,brandname_uk_cy,brandname_uk_lat,manufacturer,dosage_cy,dosage,info_uk
N05CM18,Dexmedetomidine,Дексмедетомідин;,ДЕКСМЕДЕТОМІДИН ЕВЕР ФАРМА,DEXMEDETOMIDIN E EVER PHARMA,ЕВЕР Фарма Єна ГмбХ/ Німеччина,"‐концентрат для розчину для інфузій, 100 мкг/мл по 2 мл в ампулі; по
4 мл у флаконі, по 10 мл у
флаконі;","‐concentrate for solution for infusion, 100 μg / ml 2 ml in an
ampoule; 4 ml in a bottle, 10 ml in a
bottle;",https://compendium.com.ua/info/345586/deksmedetomidin/
N05CM18,Dexmedetomidine,Дексмедетомідин;,ДЕКСМЕДЕТОМІДИН КАЛЦЕКС,DEXMEDETOMIDIN E KALCEKS,"ХБМ Фарма с.р.о., Словаччина /АТ ""Гріндекс"" Латвія","‐ концентрат для розчину для інфузій, 100 мкг/мл, по 2 мл в
ампулі,","‐ concentrate for solution for infusion, 100 μg / ml, 2 ml in an
ampoule,",NA
N05CM18,Dexmedetomidine,Дексмедетомідин,МИРОДЕКС,‐,"ТОВ ""Фармідея"",
Латвія","‐ концентрат для розчину для інфузій, 100 мкг/мл, по 2 мл у
скляному флаконі,","‐ concentrate for solution for infusion, 100 μg / ml, 2 ml in a glass
vial,",NA
N05CM50,"Doxylamine, combinations","Трави пасифлори (Passiflorae herba), доксиламін (doxilami
nе);",БІОСОН,BIOSON,"ТОВ ""Фарма Старт"", Україна",‐ табл.,‐ tablet.,https://compendium.com.ua/info/255167/bioson/
N05CX,Comb drug,"етиловий ефір ‐ бромізовалеріанової кислоти / ментолу в
ментиловому ефірі кислоти ізовалеріанової (валідол) /

доксиламін",СОНОБАРБОВАЛ,SONOBARBOVAL,"АТ ""Фармак"",
Україна","краплі оральні, розчин по 5 мл у флаконі","oral drops, 5 ml solution in a vial",https://compendium.com.ua/info/358134/sonobarboval/
N06AA02,Imipramine,Іміпрамін,МЕЛІПРАМІН®,MELIPRAMIN®,"ЗАТ
Фармацевтичний завод ЕГІС,
Угорщина",‐ табл. по 25 мг;,‐ tablet. 25 mg each;,https://compendium.com.ua/info/8108/melipramin‐sup‐sup‐/
N06AA04,Clomipramine,Кломіпрамін,АНАФРАНІЛ®,ANAFRANIL®,"Новартіс Фарма С.п.А., Італія",‐ табл. по 25 мг,‐ tablet. 25 mg,https://compendium.com.ua/info/7245/anafranil
N06AA04,Clomipramine,Кломіпрамін,КЛОФРАНІЛ,CLOFRANIL,"Сан Фармасьютикал
Індастріз Лтд, Індія",‐ табл. по 25 мг;,‐ tablet. 25 mg each;,NA
N06AA09,Amitriptyline,Амітриптилін,АМІТРИПТИЛІН,AMITRIPTYLINE,"ПрАТ ""Технолог"",
Україна",‐ табл. по 25 мг,‐ tablet. 25 mg,https://compendium.com.ua/info/166162/43070/
N06AA09,Amitriptyline,Амітриптилін,АМІТРИПТИЛІНУ ГІДРОХЛОРИД‐ЗН,AMITRIPTYLINE HYDROCHLORID‐ZN,"ТОВ ""Харківське фармацевтичне підприємство ""Здоров'я народу"",
Україна","розчин для ін'єкцій, 10
мг/мл по 2 мл в ампулі","solution for injection, 10 mg / ml 2 ml in an ampoule",NA
N06AA09,Amitriptyline,Амітриптилін,САРОТЕН,SAROTEN®,"Х. Лундбек А/С,
Данія",‐ табл. по 25 мг;,‐ tablet. 25 mg each;,NA
N06AA12,Doxepin,Доксепін,ДОКСЕПІН,DOXEPIN,"ТОВ Тева Оперейшенз
Поланд, Польща",‐ капсули по 10 мг; 25 мг;,‐ capsules of 10 mg; 25 mg;,https://compendium.com.ua/info/3809/6398/
N06AA12,Doxepin,Доксепін,ДОКСЕПІН‐ЗН,DOXEPIN‐ZN,"ТОВ ""Харківське фармацевтичне підприємство ""Здоров'я народу"",
Україна",‐ капсули по 25 мг;,‐ capsules of 25 mg;,NA
N06AB03,Fluoxetine,Флуоксетин,ФЛУКСЕН®,FLUXEN,"ПАТ
""Київмедпрепарат
"", Україна",‐ капсули по 20 мг;,‐ 20 mg capsules;,https://compendium.com.ua/info/168124/fluksen‐sup‐sup‐/
N06AB03,Fluoxetine,Флуоксетин,ФЛУОКСЕТИН,FLUOXETINE,"КУСУМ ХЕЛТХКЕР
ПВТ ЛТД, Індія",‐ капсули по 20 мг;,‐ 20 mg capsules;,https://compendium.com.ua/info/376305/611642‐611643/
N06AB03,Fluoxetine,Флуоксетин,ПРОДЕП,PRODEP,"Сан Фармасьютикал
Індастріз Лтд, Індія",‐ капсули по 20 мг;,‐ 20 mg capsules;,https://compendium.com.ua/info/8884/prodep/
N06AB04,Citalopram,Циталопрам,ЦИПРАМІЛ,CIPRAMIL®,"Х. Лундбек А/С,
Данія",‐ табл. по 20 мг;,‐ tablet. 20 mg each;,https://compendium.com.ua/info/133572/
N06AB05,Paroxetine,"Пароксетин,",ПАКСИЛ™,РAХIL™,"ГлаксоСмітКляйн Фармасьютикалз
С.А., Польща",‐ табл. по 20 мг;,‐ tablet. 20 mg each;,https://compendium.com.ua/info/_2947/
N06AB05,Paroxetine,"Пароксетин,",ПАРОКСЕТИН,PAROXETINE,"Медокемі ЛТД, Кіпр",‐ табл. по 20 мг;,‐ tablet. 20 mg each;,https://compendium.com.ua/info/168407/paroksetin/
N06AB05,Paroxetine,"Пароксетин,",ПАРОКСИН,PAROXIN,"ТОВ ""Фарма Старт"", Україна",‐ табл. по 20 мг;,‐ tablet. 20 mg each;,https://compendium.com.ua/info/169200/paroksin/
N06AB05,Paroxetine,"Пароксетин,",РЕКСЕТИН®,REXETIN®,"ВАТ ""Гедеон Ріхтер"", Угорщина",‐ табл. по 20 мг;,‐ tablet. 20 mg each;,https://compendium.com.ua/info/166451/reksetin‐sup‐sup‐/
N06AB06,Sertraline,Сертралін;,АСЕНТРА®,ASENTRA®,"КРКА, д.д., Ново
место, Словенія","‐ табл. по 50 мг, по 100
мг","‐ tablet. 50 mg, 100 mg",https://mozdocs.kiev.ua/likiview.php?id=45022
N06AB06,Sertraline,Сертралін,ДЕБІТУМ‐САНОВЕЛЬ,DEBITUM‐SANOVEL,"Сановель Іляч Санаі ве Тиджарет
А.Ш., Туреччина","‐ табл. по 25 мг; 50 мг; 100 мг,","‐ tablet. 25 mg each; 50
mg; 100 mg,",NA
N06AB06,Sertraline,Сертралін,ЗОЛОФТ®,ZOLOFT®,"Хаупт Фарма
Латіна С.р.л., Італія",‐ табл. по 50 мг;,‐ tablet. 50 mg;,https://mozdocs.kiev.ua/likiview.php?id=43146
N06AB06,Sertraline,Сертралін,СЕРЛІФТ,SERLIFT,"Сан Фармасьютикал Індастріз Лімітед,
Індія",‐ табл. по 50 мг; 100 мг;,‐ tablet. 50 mg; 100 mg;,https://compendium.com.ua/info/169788/serlift/
N06AB06,Sertraline,Сертралін,"СЕРТРАЛОФТ 25;
СЕРТРАЛОФТ 50;
СЕРТРАЛОФТ 100;","SERTRALOFT 25,
SERTRALOFT 50,
SERTRALOFT 100","ТОВ
""Фармацевтична компанія ""Здоров'я"",
Україна",‐ табл. по 100 мг;,‐ tablet. 100 mg each;,https://compendium.com.ua/info/169054/
N06AB06,Sertraline,Сертралін,СТИМУЛОТОН®,STIMULOTON®,"ЗАТ
Фармацевтичний завод ЕГІС,
Угорщина",‐ табл. по 50 мг;,‐ tablet. 50 mg;,https://compendium.com.ua/info/166335/stimuloton‐sup‐sup‐/
N06AB08,Fluvoxamine,Флувоксамін;,ФЕВАРИН®,FEVARIN®,Майлан Лабораторіз САС,‐ табл. по 50 мг; 100 мг;,‐ tablet. 50 mg; 100 mg;,https://compendium.com.ua/info/5283/fevarin‐sup‐sup‐/
N06AB10,Escitalopram,Есциталопрам,ЕЗОПРАМ,EZOPRAM,"Актавіс Лтд, Мальта",‐ капсули по 10 мг; 20 мг;,‐ capsules of 10 mg; 20 mg;,https://compendium.com.ua/info/171118/ezopram/
N06AB10,Escitalopram,Есциталопрам,ЕЗОПРЕКС,‐,"Ейч.Бі.Ем. Фарма, с.р.о., Словацька
Республіка",‐ табл. по 30 мг; 60 мг;,‐ tablet. 30 mg each; 60 mg;,NA
N06AB10,Escitalopram,Есциталопрам,ДЕПРЕСАН,DEPRESAN,"ТОВ ""Харківське фармацевтичне
підприємство","‐ табл. по 5 мг; 10 мг; 20
мг",‐ tablet. 5 mg; 10 mg; 20 mg,https://compendium.com.ua/info/220267/depresan/
NA,NA,NA,NA,NA,"""Здоров'я народу"",
Україна",NA,NA,NA
N06AB10,Escitalopram,Есциталопрам,ГІАЦИНТІЯ,GIACINTIA,"АТ ""Київський вітамінний завод"",
Україна",‐ табл. по 10 мг,‐ tablet. 10 mg,https://compendium.com.ua/info/351806/
N06AB10,Escitalopram,Есциталопрам,ЕЛІЦЕЯ,ELICEA®,"РКА, д.д., Ново
место, Словенія","‐ табл. по 5 мг; 10 мг; 20
мг;","‐ tablet. 5 mg; 10 mg; 20
mg;",NA
N06AB10,Escitalopram,Есциталопрам,ЕССОБЕЛ®,‐,"НОБЕЛ ІЛАЧ САНАЇ ВЕ ТІДЖАРЕТ А.Ш.,
Туреччина",‐ табл. по 10 мг; 20 мг;,‐ tablet. 10 mg; 20 mg;,NA
N06AB10,Escitalopram,Есциталопрам,ЕСЦИТАЛОПРАМ ТЕДЕК,"ESCITALOPRAM
TEDEC","Тедек‐Мейджі
Фарма, С.А.",‐ табл. по 10 мг; 20 мг;,‐ tablet. 10 mg; 20 mg;,NA
N06AB10,Escitalopram,Есциталопрам,"ЕСЦИТАМ 10;
ЕСЦИТАМ 20;","ESCITAM 10;
ESCITAM 20;","ТОВ ""Фарма
Старт"", Україна",‐ табл. по 10 мг;,‐ tablet. 10 mg;,NA
N06AB10,Escitalopram,Есциталопрам,МЕДОПРАМ,MEDOPRAM,"Медокемі ЛТД,
Кіпр","‐ табл. по 5 мг; 10 мг; 20
мг;","‐ tablet. 5 mg; 10 mg; 20
mg;",NA
N06AB10,Escitalopram,Есциталопрам,ФЕЛІЗ С,‐,"Торрент Фармасьютікалс
Лтд, Індія",‐ табл. по 10 мг;,‐ tablet. 10 mg;,NA
N06AB10,Escitalopram,Есциталопрам,ЦИПРАЛЕКС,CIPRALEX®,"Х. Лундбек А/С,
Данія",‐ табл. по 10 мг;,‐ tablet. 10 mg;,NA
N06AX03,Mianserin,Міансерин,МІАСЕР®,MIASER®,"Рівофарм СА, Швейцарія","‐ табл. по 10 мг; 30 мг; 60
мг;","‐ tablet. 10 mg; 30 mg;
60 mg;",https://compendium.com.ua/info/255324/miaser‐sup‐sup‐/
N06AX05,Trazodone,Тразодон,ТРАЗОДОН MC,TRAZODONE MC,"Медокемі ЛТД,
Кіпр",‐ табл. по 50 мг; 100 мг;,‐ tablet. 50 mg; 100 mg;,https://mozdocs.kiev.ua/likiview.php?id=50941
N06AX05,Trazodone,Тразодон,ТРИТТІКО,TRITTICO®,"Азіенде Кіміке Ріуніте Анжеліні Франческо А.К.Р.А.Ф. С.п.А.,
Італія",‐ табл. по 75 мг; 150 мг;,‐ tablet. 75 mg each; 150 mg;,https://compendium.com.ua/info/137180/trittiko/
N06AX,Hypericine*,Гіперицин,ДЕПРИВІТ,DEPRIVIT,"АТ ""Київський вітамінний завод"",
Україна",‐ табл. по 60 мг;,‐ tablet. 60 mg;,https://compendium.com.ua/info/171066/deprivit/
N06AX11,Mirtazapine,Міртазапін,МІРАЗЕП,MIRAZEP,"Мікро Лабс
Лімітед, Індія",‐ табл. по 15 мг; 30 мг;,‐ tablet. 15 mg; 30 mg;,https://mozdocs.kiev.ua/likiview.php?id=43749
N06AX11,Mirtazapine,Міртазапін,МІРЗАТЕН,MIRZATEN®,"КРКА, д.д., Ново
место, Словенія",‐ табл. по 30 мг; 45 мг;,"‐ tablet. 30 mg each; 45
mg;",https://mozdocs.kiev.ua/likiview.php?id=49939
N06AX11,Mirtazapine,Міртазапін,МІРТАЗАПІН САНДОЗ®,MIRTAZAPIN SANDOZ®,"Салютас Фарма ГмбХ, Німеччина",‐ табл. по 15 мг; 30 мг;,‐ tablet. 15 mg; 30 mg;,https://compendium.com.ua/info/169785/mirtazapin‐sandoz‐sup‐sup‐/
N06AX16,Venlafaxine,Венлафаксин,АЛВЕНТА®,ALVENTA®,"КРКА, д.д., Ново
место, Словенія",‐ капсули по 75 мг;,‐ 75 mg capsules,https://mozdocs.kiev.ua/likiview.php?id=48907
N06AX16,Venlafaxine,Венлафаксин;,ВЕЛАКСИН®,VELAXIN®,"ЗАТ
Фармацевтичний завод ЕГІС,
Угорщина","‐ капсули по 150 мг ; 75
мг; 37,5 мг;","‐ capsules of 150 mg; 75
mg; 37.5 mg;",https://compendium.com.ua/info/169421/velaksin‐sup‐sup‐/
N06AX16,Venlafaxine,Венлафаксин,ВЕНЛАКСОР®,VENLAXOR,"АТ ""Гріндекс"",
Латвія","‐ табл. по 37,5 мг; 75 мг;","‐ tablet. 37.5 mg each;
75 mg;",NA
N06AX16,Venlafaxine,Венлафаксин,ВЕНЛАФАКСИН‐ЗН,VENLAFAXIN‐ZN,"ТОВ ""Харківське фармацевтичне підприємство ""Здоров'я народу"",
Україна","‐ табл. по 37,5 мг; 75 мг;",‐ tablet. 37.5 mg each; 75 mg;,NA
N06AX16,Venlafaxine,Венлафаксин,ВІПАКС XR,VIEPAX XR,"Дексель Лтд.,
Ізраїль",‐ табл. по 150 мг; 75 мг;,"‐ tablet. 150 mg each; 75
mg;",NA
N06AX16,Venlafaxine,Венлафаксин,МЕДОФАКСИН,MEDOFAXINE,"Ципла Лтд, Індія","‐ капсули по 150 мг ; 75
мг; 37,5 мг;","‐ capsules of 150 mg; 75
mg; 37.5 mg;",NA
N06AX21,Duloxetine,Дулоксетин,ДЕПРАТАЛ,DEPRATAL,"Адамед Фарма С.А., Польща/
Іспанія",‐ табл. по 30 мг; 60 мг;,‐ tablet. 30 mg each; 60 mg;,https://compendium.com.ua/info/385287/depratal/
N06AX21,Duloxetine,Дулоксетин,ДЕПУЛОКСА,DEPULOXA,"Гетеро Лабз
Лімітед, Індія",‐ капсули по 30 мг; 60 мг;,"‐ capsules of 30 mg; 60
mg;",NA
N06AX21,Duloxetine,Дулоксетин,"ДЕФАКСТО 30;
ДЕФАКСТО 60;","DEFAXTO 30;
DEFAXTO 60;","Алємбік Фармас'ютікелс
Лімітед, Індія",‐ капсули по 30 мг; 60 мг;,‐ capsules of 30 mg; 60 mg;,NA
N06AX21,Duloxetine,Дулоксетин,"ДУЛОКЕМ 30;
ДУЛОКЕМ 60;",‐,"Алкем Лабораторіз Лтд,
Індія",‐ капсули по 30 мг;,‐ capsules of 30 mg;,NA
N06AX21,Duloxetine,Дулоксетин,ДУЛОКСЕНТА,DULOXENTA®,"КРКА, д.д.,
Словенія",‐ капсули по 30 мг; 60 мг;,"‐ capsules of 30 mg; 60
mg;",NA
N06AX21,Duloxetine,Дулоксетин,ДУЛОТ,DULOT,"Люпін Лімітед,
Індія",‐ капсули по 30 мг; 60 мг;,"‐ capsules of 30 mg; 60
mg;",NA
N06AX21,Duloxetine,Дулоксетин,ДЮЛОК®,DYULOK,"ПАТ ""Фармак"",
Україна",‐ капсули по 30 мг; 60 мг;,"‐ capsules of 30 mg; 60
mg;",NA
N06AX21,Duloxetine,Дулоксетин,СИМБІЯ®,‐,"Балканфарма‐ дупниця АД,
Болгарія",‐ капсули по 30 мг; 60 мг;,‐ capsules of 30 mg; 60 mg;,NA
N06AX21,Duloxetine,Дулоксетин,НЕКСЕТИН,NEXETIN,"НОБЕЛ ІЛАЧ САНАЇ ВЕ ТІДЖАРЕТ А.Ш.,
Туреччина",‐ капсули по 20 мг; 40 мг;,‐ 20 mg capsules; 40 mg;,NA
N06AX21,Duloxetine,Дулоксетин,РЕВІВАЛ,REVIVAL,"Медокемі ЛТД, Кіпр",‐ капсули по 30 мг; 60 мг;,‐ capsules of 30 mg; 60 mg;,https://compendium.com.ua/info/357274/revival/
N06AX22,Agomelatine,Агомелатин;,АГНЕСТІ®,AGNESTI,"АТ ""Фармак""
Україна / Зентіва",‐ табл. по 25 мг ;,‐ tablet. 25 mg,https://compendium.com.ua/info/361663/
NA,NA,NA,NA,NA,"к.с., Чеська
Республіка",NA,NA,NA
N06AX22,Agomelatine,Агомелатин,МЕЛІТОР®,MELITOR®,"Лабораторії Серв' є Індастрі, Франція",‐ табл. по 25 мг;,‐ tablet. 25 mg each;,https://compendium.com.ua/info/169928/melitor‐sup‐sup‐/
N06AX23,Desvenlafaxine,Десвенлафаксин,ЕЛІФОР,ELIFORE,"Пфайзер Ірландія Фармасьютікалз, Ірландія Пфайзер Менюфекчуринг
Дойчленд ГмбХ,
Німеччина",‐ табл. по 50 мг; 100 мг;,‐ tablet. 50 mg; 100 mg;,https://compendium.com.ua/info/255275/elifor/
N06AX25,Hyperici herba,Екстракт трави звіробою звич.,РЕМОТІВ,‐,Макс Целлєр Зьоне АГ,‐ табл. по 500 мг;,‐ tablet. 500 mg;,https://compendium.com.ua/info/340528/remotiv/
N06AX25,Hypericine,Сухий екстракт із трави звіробою,НЕЙРОПЛАНТ,‐,"Др. Вільмар Швабе ГмбХ і Ко.
КГ, Німеччина",‐ табл.,‐ tablet.,https://compendium.com.ua/info/167902/nejroplant/
N06AX26,Vortioxetine,Вортіоксетин;,БРІНТЕЛЛІКС,BRINTELLIX®,"Х. Лундбек А/С, Данія",‐ табл. по 5 мг; 10 мг;,‐ tablet. 5 mg; 10 mg,https://compendium.com.ua/info/251938/brintelliks/
A10BA02,Metformin,Метформин,ГЛЮКОФАЖ,GLUCOPHAGE,"Мерк Санте, Франція Мерк, СЛ, Іспанія","‐ табл. по 1000 мг №
30 або № 60;
‐ табл. по 850 мг №
30 або № 60;
‐ табл. по 500 мг №
30 або № 60;","‐ tablet. 1000 mg № 30
or № 60;
‐ tablet. 850 mg № 30 or
№ 60;
‐ tablet. 500 mg № 30 or
№ 60;",https://compendium.com.ua/info/169554/80015‐80016/
A10BA02,Metformin,Метформин,ГЛЮКОФАЖ XR,GLUCOPHAGE® XR,"Мерк Санте, Франція Мерк, СЛ, Іспанія","‐ табл. по 1000 мг №
30 або № 60;
‐ табл. по 500 мг №
30 або № 60;","‐ tablet. 1000 mg № 30
or № 60;
‐ tablet. 500 mg № 30 or
№ 60;",https://compendium.com.ua/info/171517/111104‐111105/
A10BA02,Metformin,Метформин,ГЛЮМЕТ,GLUMET,ТПІ Норвегія АС,"‐ табл. по 1000 мг №
100;
‐ табл. по 500 мг №
100;","‐ tablet. 1000 mg № 100;
‐ tablet. 500 mg № 100;",NA
A10BA02,Metformin,Метформин,ДІАФОРМІН,DIAFORMIN,"ПАТ ""Фармак"",
Україна","‐ табл. по 1000 мг №
30 або № 60;
‐ табл. по 850 мг №
30 або № 60;
‐ табл. по 500 мг №
30 або № 60;","‐ tablet. 1000 mg № 30
or № 60;
‐ tablet. 850 mg № 30 or
№ 60;
‐ tablet. 500 mg № 30 or
№ 60;",https://compendium.com.ua/info/168183/62795‐62796/
A10BA02,Metformin,Метформин,ДІАФОРМІН® SR,DIAFORMIN® SR,"ПАТ ""Фармак"",
Україна","‐ табл. по 1000 мг №
30 або № 60 або №
100;
‐ табл. по 500 мг №
30 або № 60 або №
100;","‐ tablet. 1000 mg № 30
or № 60 or № 100;
‐ tablet. 500 mg № 30 or
№ 60 or № 100;",https://compendium.com.ua/info/173346/161559/
A10BA02,Metformin,Метформин,ІНСУФОР,INSUFOR,"Уорлд медицин ілач сан. ве тідж. a.ш.
Туреччина/","‐ табл. по 1000 мг №
30 або № 60;
‐ табл. по 850 мг №
30 або № 60;
‐ табл. по 500 мг №
30 або № 60;","‐ tablet. 1000 mg № 30
or № 60;
‐ tablet. 850 mg № 30 or
№ 60;
‐ tablet. 500 mg № 30 or
№ 60;",https://compendium.com.ua/info/251836/insufor/
A10BA02,Metformin,Метформин,МЕГЛІФОРТ 1000,MAGLIFORT 1000,"Індоко Ремедіз
Лімітед, Індія","‐ табл. по 1000 мг №
10 або № 30;","‐ tablet. 1000 mg № 10
or № 30;",https://mozdocs.kiev.ua/likiview.php?id=43647
A10BA02,Metformin,Метформин,МЕГЛІФОРТ 850,MAGLIFORT 850,"Індоко Ремедіз
Лімітед, Індія","‐ табл. по 850 мг №
10 або № 30;","‐ tablet. 850 mg № 10 or
№ 30;",https://mozdocs.kiev.ua/likiview.php?id=43649
A10BA02,Metformin,Метформин,МЕГЛІФОРТ 500,MAGLIFORT 500,"Індоко Ремедіз
Лімітед, Індія","‐ табл. по 500 мг №
10 або № 30;","‐ tablet. 500 mg № 10 or
№ 30;",https://mozdocs.kiev.ua/likiview.php?id=43648
A10BA02,Metformin,Метформин,МЕТАМІН,METAMIN,"ТОВ ""КУСУМ ФАРМ"",
Україна","‐ табл. по 1000 мг №
30 або № 100;
‐ табл. по 850 мг №
30 або № 100;
‐ табл. по 500 мг №
30 або № 100;","‐ tablet. 1000 mg № 30
or № 100;
‐ tablet. 850 mg № 30 or
№ 100;
‐ tablet. 500 mg № 30 or
№ 100;",NA
A10BA02,Metformin,Метформин,МЕТАМІН SR,METAMIN SR,"ТОВ ""КУСУМ ФАРМ"",
Україна","‐ табл. по 500 мг №
28 або № 30 або №
90;","‐ tablet. 500 mg № 28 or
№ 30 or № 90;",NA
A10BA02,Metformin,Метформин,МЕТАФОРА,METAFORA,"АТ ""Київський вітамінний завод"", Україна","‐ табл. по 1000 мг №
30 або № 60;
‐ табл. по 850 мг №
30 або № 60;
‐ табл. по 500 мг №
30 або № 60;","‐ tablet. 1000 mg № 30
or № 60;
‐ tablet. 850 mg № 30 or
№ 60;
‐ tablet. 500 mg № 30 or
№ 60;",NA
A10BA02,Metformin,Метформин,МЕТФОГАМА 1000,"METFOGAMMA 10
00","Драгенофарм Аптекарь Пюшл ГмбХ,
Німеччина","‐ табл. по 1000 мг №
30 або № 120;","‐ tablet. 1000 mg № 30
or № 120;",NA
A10BA02,Metformin,Метформин,МЕТФОГАМА 850,"METFOGAMMA 85
0","Драгенофарм Аптекарь Пюшл ГмбХ,
Німеччина","‐ табл. по 850 мг №
30 або № 120;","‐ tablet. 850 mg № 30 or
№ 120;",NA
A10BA02,Metformin,Метформин,МЕТФОГАМА 500,"METFOGAMMA 50
0","Драгенофарм Аптекарь Пюшл ГмбХ,
Німеччина","‐ табл. по 500 мг №
30 або № 120;","‐ tablet. 500 mg № 30 or
№ 120;",NA
A10BA02,Metformin,Метформин,МЕТФОРМІН ІНДАР,METFORMIN INDAR,"ПрАТ ""По
виробництву інсулінів
""Індар"", Україна","‐ табл. по 1000 мг №
30 або № 60;
‐ табл. по 500 мг №
30 або № 60;","‐ tablet. 1000 mg № 30
or № 60;
‐ tablet. 500 mg № 30 or
№ 60;",https://compendium.com.ua/info/341362/metformin‐indar/
A10BA02,Metformin,Метформин,МЕТФОРМІН САНДОЗ®,METFORMIN SANDOZ®,"Лек С.А., Польща","‐ табл. по 850 мг №
30 або № 120;
‐ табл. по 500 мг №
30 або № 120;","‐ tablet. 850 mg № 30 or
№ 120;
‐ tablet. 500 mg № 30 or
№ 120;",https://compendium.com.ua/info/172011/139509‐139510/
A10BA02,Metformin,Метформин,МЕТФОРМІН‐БІОТОН,METFORMI‐BIOTON,"БІОТОН С.А., Польща","‐ табл. по 1000 мг №
30 або № 60;
‐ табл. по 850 мг №
30 або № 60;
‐ табл. по 500 мг №
30 або № 60;","‐ tablet. 1000 mg № 30
or № 60;
‐ tablet. 850 mg № 30 or
№ 60;
‐ tablet. 500 mg № 30 or
№ 60;",NA
A10BA02,Metformin,Метформин,МЕТФОРМІН‐ТЕВА,METFORMIN‐TEVA,"ТОВ Тева Оперейшенз Поланд, Польща","‐ табл. по 1000 мг №
30;
‐ табл. по 850 мг №
30;","‐ tablet. 1000 mg № 30;
‐ tablet. 850 mg № 30;
‐ tablet. 500 mg № 30;",https://compendium.com.ua/info/1414/448549/
NA,NA,NA,NA,NA,NA,"‐ табл. по 500 мг №
30;",NA,NA
A10BA02,Metformin,Метформин,МЕФАРМІЛ®,MEFARMIL,"ПАТ
""Київмедпрепарат"",
Україна","‐ табл. по 1000 мг №
30 або № 50 або №
60 або № 120;
‐ табл. по 850 мг №
30 або № 50 або №
60 або № 120;
‐ табл. по 500 мг №
30 або № 50 або №
60 або № 120;","‐ tablet. 1000 mg № 30 or № 50 or № 60 or № 120;
‐ tablet. 850 mg № 30 or
№ 50 or № 60 or № 120;
‐ tablet. 500 mg № 30 or
№ 50 or № 60 or № 120;",NA
A10BA02,Metformin,Метформин,МЕФАРМІЛ® SR,MEFARMIL SR,"ПАТ
""Київмедпрепарат"",
Україна","‐ табл. по 1000 мг №
30",‐ tablet. 1000 mg № 30,NA
A10BA02,Metformin,Метформин,СІОФОР® 1000,SIOFOR® 1000,"БЕРЛІН‐ХЕМІ АГ,
Німеччина","‐ табл. по 1000 мг №
30 або № 60;","‐ tablet. 1000 mg № 30
or № 60;",https://compendium.com.ua/info/6602/79001/
A10BA02,Metformin,Метформин,СІОФОР® 850,SIOFOR® 850,"БЕРЛІН‐ХЕМІ АГ,
Німеччина","‐ табл. по 850 мг №
30 або № 60;","‐ tablet. 850 mg № 30 or
№ 60;",https://compendium.com.ua/info/6602/32495/
A10BA02,Metformin,Метформин,СІОФОР® 500,SIOFOR® 500,"БЕРЛІН‐ХЕМІ АГ,
Німеччина","‐ табл. по 500 мг №
30 або № 60;","‐ tablet. 500 mg № 30 or
№ 60;",https://compendium.com.ua/info/6602/8721/
A10BB01,Glibenclamide,Глібенкламід,ГЛІБЕНКЛАМІД,GLIBENCLAMIDE,"ПрАТ ""Технолог"", ,
Україна",‐ табл. по 5 мг № 30;,‐ tablet. 5 mg № 30,https://compendium.com.ua/info/119643/99992/
A10BB01,Glibenclamide,Глібенкламід,ГЛІБЕНКЛАМІД‐ ЗДОРОВ’Я,GLIBENCLAMID‐ ZDOROVYE,"ТОВ ""Фармацевтична компанія ""Здоров'я"",
Україна",‐ табл. по 5 мг № 50;,‐ tablet. 5 mg № 50,https://compendium.com.ua/info/1767/glibenklamid‐zdorov_e/
A10BB01,Glibenclamide,Глібенкламід,ГЛІБЕНКЛАМІД,GLIBENCLAMIDE,"ПАТ ""Фармак"",
Україна","‐ табл. по 5 мг № 50
або № 100;","‐ tablet. 5 mg № 50 or №
100",https://compendium.com.ua/info/170943/99700/
A10BB01,Glibenclamide,Глібенкламід,"МАНІНІЛ® 3,5",MANINIL® 3.5,"БЕРЛІН‐ХЕМІ АГ,
Німеччина","‐ табл. по 3,5 мг №
120;",‐ tablet. 3.5 mg № 120,https://compendium.com.ua/info/113071/4211/
A10BB01,Glibenclamide,Глібенкламід,МАНІНІЛ® 5,MANINIL® 5,"БЕРЛІН‐ХЕМІ АГ,
Німеччина",‐ табл. по 5 мг № 120,‐ tablet. 5 mg № 120,https://compendium.com.ua/info/113071/19838/
A10BB08,Gliquidone,Гліквідон,ГЛЮРЕНОРМ®,GLURENORM®,"Берінгер Інгельхайм Еллас А.Е., Греція",‐ табл. по 30 мг № 60;,‐ tablet. 30 mg № 60,https://compendium.com.ua/info/75550/gljurenorm‐sup‐sup‐/
A10BB09,Gliclazide,Гліклазид,ГЛІКЛАДА,GLICLADA®,"КРКА, д.д., Ново место, Словенія","‐ табл. по 60 мг № 30
або № 60 або № 90;
‐ табл. по 30 мг № 30
або № 60 або № 90;","‐ tablet. 60 mg № 30 or
№ 60 or № 90
‐ tablet. 30 mg № 30 or
№ 60 or № 90",https://compendium.com.ua/info/172585/gliklada‐sup‐sup‐/
